season,player_id,display_name,carries,bucket,tier_current,tier_score_current,games_current,ppg_current,pts_current,games_next_eff,ppg_next_eff,pts_next_eff,vanished
2016,00-0032780,Jordan Howard,252,250-299,Star,3,15.0,15.34,230.1,16.0,12.48125,199.7,False
2016,00-0029615,Lamar Miller,268,250-299,Star,3,14.0,13.728571428571428,192.2,16.0,12.09375,193.5,False
2016,00-0023500,Frank Gore,263,250-299,Star,3,16.0,13.3875,214.2,16.0,10.85,173.6,False
2016,00-0028009,DeMarco Murray,293,250-299,Superstar,4,16.0,18.3625,293.8,15.0,11.433333333333334,171.5,False
2016,00-0031590,Jay Ajayi,260,250-299,Star,3,15.0,14.353333333333332,215.3,14.0,9.65,135.1,False
2016,00-0027325,LeGarrette Blount,299,250-299,Star,3,16.0,14.55625,232.9,16.0,6.7375,107.8,False
2017,00-0032241,Todd Gurley,279,250-299,League Winner,5,15.0,25.55333333333333,383.3,14.0,26.607142857142858,372.5,False
2017,00-0032144,Melvin Gordon,284,250-299,Superstar,4,16.0,18.00625,288.1,12.0,22.975,275.7,False
2017,00-0033923,Kareem Hunt,272,250-299,Superstar,4,16.0,18.45,295.2,11.0,20.92727272727273,230.2,False
2017,00-0032780,Jordan Howard,276,250-299,Starter,2,16.0,12.48125,199.7,16.0,11.25,180.0,False
2017,00-0027029,LeSean McCoy,287,250-299,Superstar,4,16.0,16.475,263.6,14.0,9.085714285714284,127.2,False
2017,00-0033856,Leonard Fournette,268,250-299,Superstar,4,13.0,17.707692307692305,230.2,8.0,15.05,120.4,False
2017,00-0023500,Frank Gore,261,250-299,Mid/replacement,1,16.0,10.85,173.6,14.0,7.328571428571428,102.6,False
2018,00-0033045,Ezekiel Elliott,304,300+,League Winner,5,15.0,21.94,329.1,16.0,19.48125,311.7,False
2018,00-0034844,Saquon Barkley,261,250-299,League Winner,5,16.0,24.125,386.0,13.0,18.77692307692308,244.1,False
2018,00-0032241,Todd Gurley,256,250-299,League Winner,5,14.0,26.607142857142858,372.5,15.0,14.64,219.6,False
2018,00-0025394,Adrian Peterson,251,250-299,Starter,2,16.0,11.8125,189.0,15.0,9.8,147.0,False
2018,00-0032187,David Johnson,258,250-299,Star,3,16.0,15.425,246.8,12.0,11.791666666666666,141.5,False
2018,00-0032780,Jordan Howard,250,250-299,Starter,2,16.0,11.25,180.0,9.0,12.377777777777778,111.4,False
2019,00-0033893,Dalvin Cook,250,250-299,League Winner,5,14.0,20.885714285714283,292.4,14.0,24.17142857142857,338.4,False
2019,00-0032764,Derrick Henry,303,300+,League Winner,5,15.0,19.64,294.6,16.0,20.83125,333.3,False
2019,00-0033045,Ezekiel Elliott,301,300+,League Winner,5,16.0,19.48125,311.7,15.0,14.913333333333332,223.7,False
2019,00-0034791,Nick Chubb,299,250-299,Star,3,16.0,15.95,255.2,12.0,17.291666666666668,207.5,False
2019,00-0033594,Chris Carson,278,250-299,Star,3,15.0,15.506666666666666,232.6,12.0,15.65,187.8,False
2019,00-0033856,Leonard Fournette,265,250-299,Superstar,4,15.0,17.28666666666667,259.3,12.0,11.0,132.0,False
2019,00-0033897,Joe Mixon,278,250-299,Star,3,16.0,14.0875,225.4,6.0,16.599999999999998,99.6,False
2020,00-0035700,Josh Jacobs,273,250-299,Star,3,15.0,15.42,231.3,15.0,15.066666666666666,226.0,False
2020,00-0033893,Dalvin Cook,312,300+,League Winner,5,14.0,24.17142857142857,338.4,13.0,15.884615384615383,206.5,False
2020,00-0032764,Derrick Henry,378,300+,League Winner,5,16.0,20.83125,333.3,8.0,24.1875,193.5,False
2021,00-0033897,Joe Mixon,292,250-299,Superstar,4,16.0,17.99375,287.9,14.0,17.107142857142858,239.5,False
2021,00-0036893,Najee Harris,307,300+,Superstar,4,17.0,17.688235294117646,300.7,17.0,13.285882352941178,225.86,False
2021,00-0036328,Antonio Gibson,258,250-299,Star,3,16.0,14.33125,229.3,15.0,11.06,165.9,False
2021,00-0036223,Jonathan Taylor,332,300+,League Winner,5,17.0,21.947058823529414,373.1,11.0,13.30909090909091,146.4,False
2022,00-0032764,Derrick Henry,349,300+,League Winner,5,16.0,18.9225,302.76,17.0,14.509411764705884,246.66,False
2022,00-0034844,Saquon Barkley,295,250-299,Superstar,4,16.0,17.75,284.0,14.0,15.957142857142856,223.4,False
2022,00-0036893,Najee Harris,272,250-299,Star,3,17.0,13.285882352941178,225.86,17.0,11.5,195.5,False
2022,00-0035700,Josh Jacobs,340,300+,League Winner,5,17.0,19.311764705882357,328.3,13.0,13.930769230769233,181.1,False
2022,00-0035243,Miles Sanders,259,250-299,Starter,2,17.0,12.74705882352941,216.7,16.0,5.475,87.6,False
2022,00-0033948,Jamaal Williams,262,250-299,Star,3,17.0,13.3,226.1,13.0,4.676923076923076,60.8,False
2022,00-0033893,Dalvin Cook,264,250-299,Star,3,17.0,13.988235294117649,237.8,14.0,2.8714285714285714,40.2,False
2023,00-0032764,Derrick Henry,280,250-299,Star,3,17.0,14.509411764705884,246.66,17.0,19.788235294117644,336.4,False
2023,00-0033897,Joe Mixon,257,250-299,Star,3,17.0,15.705882352941176,267.0,14.0,17.178571428571427,240.5,False
2023,00-0036893,Najee Harris,255,250-299,Starter,2,17.0,11.5,195.5,17.0,12.03529411764706,204.6,False
2023,00-0035261,Tony Pollard,252,250-299,Starter,2,17.0,13.105882352941178,222.8,16.0,12.55625,200.9,False
2023,00-0037256,Rachaad White,272,250-299,Star,3,17.0,15.758823529411764,267.9,15.0,13.306666666666668,199.6,False
