season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play,epa_rank,epa_per_play_pctile,ppg_rank,ppg_pctile,ypg_rank,yards_per_game_pctile
2000,ARI,16,210.0,13.125,973,-126.77205249617856,-0.1302898792355381,4528.0,16,283.0,-0.1302898792355381,25,0.22580645161290322,29,0.0967741935483871,24,0.25806451612903225
2000,ATL,16,252.0,15.75,981,-189.15964562674287,-0.1928232881006553,3998.0,16,249.875,-0.1928232881006553,30,0.06451612903225806,27,0.16129032258064516,30,0.06451612903225806
2000,BAL,16,333.0,20.8125,1105,-60.32244333612793,-0.0545904464580343,5018.0,16,313.625,-0.0545904464580343,19,0.41935483870967744,14,0.5806451612903226,16,0.5161290322580645
2000,BUF,16,315.0,19.6875,1071,-64.18468329118407,-0.0599296762756153,5246.0,15,327.875,-0.0599296762756153,21,0.3548387096774194,20,0.3870967741935484,15,0.5483870967741935
2000,CAR,16,310.0,19.375,1041,-58.84628437851957,-0.0565286113146201,4663.0,16,291.4375,-0.0565286113146201,20,0.3870967741935484,21,0.3548387096774194,20,0.3870967741935484
2000,CHI,16,216.0,13.5,1021,-148.31372770411986,-0.145263200493751,4541.0,16,283.8125,-0.145263200493751,27,0.16129032258064516,28,0.12903225806451613,23,0.2903225806451613
2000,CIN,16,185.0,11.5625,1045,-163.55120438335155,-0.1565083295534464,4247.0,16,265.4375,-0.1565083295534464,28,0.12903225806451613,30,0.06451612903225806,27,0.16129032258064516
2000,CLE,16,161.0,10.0625,892,-193.9650052569609,-0.2174495574629606,3530.0,16,220.625,-0.2174495574629606,31,0.03225806451612903,31,0.03225806451612903,31,0.03225806451612903
2000,DAL,16,294.0,18.375,1003,-73.51167500021062,-0.0732917996014064,4479.0,16,279.9375,-0.0732917996014064,23,0.2903225806451613,23,0.2903225806451613,25,0.22580645161290322
2000,DEN,16,485.0,30.3125,1171,100.00068862989691,0.0853976845686566,6571.0,16,410.6875,0.0853976845686566,6,0.8387096774193549,2,0.967741935483871,2,0.967741935483871
2000,DET,16,307.0,19.1875,1044,-145.4896721197194,-0.1393579234863212,4430.0,16,276.875,-0.1393579234863212,26,0.1935483870967742,22,0.3225806451612903,26,0.1935483870967742
2000,GB,16,353.0,22.0625,1089,-9.191329471635498,-0.0084401556213365,5325.0,16,332.8125,-0.0084401556213365,12,0.6451612903225806,11,0.6774193548387096,13,0.6129032258064516
2000,IND,16,429.0,26.8125,1077,132.51387313510517,0.1230398079248887,6145.0,16,384.0625,0.1230398079248887,2,0.967741935483871,4,0.9032258064516129,3,0.9354838709677419
2000,JAX,16,367.0,22.9375,1113,11.253630251488364,0.0101110783930713,5692.0,16,355.75,0.0101110783930713,9,0.7419354838709677,8,0.7741935483870968,7,0.8064516129032258
2000,KC,16,355.0,22.1875,970,20.442792796620484,0.0210750441202273,5265.0,15,329.0625,0.0210750441202273,7,0.8064516129032258,9,0.7419354838709677,14,0.5806451612903226
2000,LA,16,540.0,33.75,1059,171.3795979986155,0.1618315372980316,7083.0,16,442.6875,0.1618315372980316,1,1.0,1,1.0,1,1.0
2000,LAC,16,269.0,16.8125,969,-164.04600569453686,-0.1692941235237738,4113.0,15,257.0625,-0.1692941235237738,29,0.0967741935483871,26,0.1935483870967742,29,0.0967741935483871
2000,LV,16,479.0,29.9375,1068,101.07637550031907,0.0946408010302613,5779.0,16,361.1875,0.0946408010302613,4,0.9032258064516129,3,0.9354838709677419,6,0.8387096774193549
2000,MIA,16,323.0,20.1875,915,-30.3918011358388,-0.0332150832085669,4207.0,15,262.9375,-0.0332150832085669,16,0.5161290322580645,16,0.5161290322580645,28,0.12903225806451613
2000,MIN,16,397.0,24.8125,999,104.0887051343298,0.1041928980323621,5965.0,16,372.8125,0.1041928980323621,3,0.9354838709677419,5,0.8709677419354839,5,0.8709677419354839
2000,NE,16,276.0,17.25,1088,-86.3694354221382,-0.0793836722629946,4573.0,16,285.8125,-0.0793836722629946,24,0.25806451612903225,25,0.22580645161290322,22,0.3225806451612903
2000,NO,16,354.0,22.125,1082,7.34653727335576,0.0067897756685358,5404.0,16,337.75,0.0067897756685358,10,0.7096774193548387,10,0.7096774193548387,8,0.7741935483870968
2000,NYG,16,328.0,20.5,1096,15.004723700829077,0.0136904413328732,5376.0,16,336.0,0.0136904413328732,8,0.7741935483870968,15,0.5483870967741935,11,0.6774193548387096
2000,NYJ,16,321.0,20.0625,1122,-81.1073049906344,-0.0722881506155386,5403.0,16,337.6875,-0.0722881506155386,22,0.3225806451612903,17,0.46774193548387094,9,0.7419354838709677
2000,PHI,16,351.0,21.9375,1062,-2.8914744917271724,-0.0027226690129257,5015.0,16,313.4375,-0.0027226690129257,11,0.6774193548387096,12,0.6451612903225806,17,0.4838709677419355
2000,PIT,16,321.0,20.0625,1064,-50.52682133090984,-0.04748761403281,4768.0,16,298.0,-0.04748761403281,17,0.4838709677419355,17,0.46774193548387094,18,0.45161290322580644
2000,SEA,16,320.0,20.0,996,-53.08448132772253,-0.0532976720157856,4680.0,16,292.5,-0.0532976720157856,18,0.45161290322580644,19,0.41935483870967744,19,0.41935483870967744
2000,SF,16,388.0,24.25,1069,93.49197241174872,0.0874574110493439,6046.0,16,377.875,0.0874574110493439,5,0.8709677419354839,6,0.8225806451612904,4,0.9032258064516129
2000,TB,16,388.0,24.25,994,-14.97095340083243,-0.0150613213288052,4658.0,16,291.125,-0.0150613213288052,13,0.6129032258064516,6,0.8225806451612904,21,0.3548387096774194
2000,TEN,16,346.0,21.625,1073,-34.84850345401687,-0.0324776360242468,5350.0,16,334.375,-0.0324776360242468,15,0.5483870967741935,13,0.6129032258064516,12,0.6451612903225806
2000,WAS,16,281.0,17.5625,1086,-31.5780393694952,-0.0290773843181355,5396.0,16,337.25,-0.0290773843181355,14,0.5806451612903226,24,0.25806451612903225,10,0.7096774193548387
2001,ARI,16,295.0,18.4375,989,-26.3205977510716,-0.0266133445410228,4906.0,16,306.625,-0.0266133445410228,14,0.5806451612903226,20,0.3870967741935484,18,0.45161290322580644
2001,ATL,16,291.0,18.1875,1032,-62.53473097645684,-0.0605956695508302,5073.0,16,317.0625,-0.0605956695508302,20,0.3870967741935484,23,0.2903225806451613,15,0.5483870967741935
2001,BAL,16,303.0,18.9375,1124,-102.53268493697604,-0.0912212499439288,5126.0,16,320.375,-0.0912212499439288,25,0.22580645161290322,18,0.45161290322580644,14,0.5806451612903226
