coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Mike Shula,00-0027939,Cam Newton,2013,2017,5,2,0.4241595531684599,5,0.0732855319605912,2,-0.0055048017069661,-0.4296643548754261
Norv Turner,00-0027939,Cam Newton,2018,2019,2,7,0.1735352523056965,1,0.164599817407182,1,-0.1756094208211144,-0.3491446731268109
Scott Turner,00-0027939,Cam Newton,2019,2019,1,8,0.1724183229433822,0,,1,-0.1756094208211144,-0.3480277437644966
Greg Roman,00-0027948,Blaine Gabbert,2014,2014,1,2,-0.3102154468315401,0,,1,-0.4511464853153587,-0.1409310384838186
Gus Bradley,00-0027948,Blaine Gabbert,2013,2013,1,2,-0.3102154468315401,0,,1,-0.4511464853153587,-0.1409310384838186
Jedd Fisch,00-0027948,Blaine Gabbert,2013,2013,1,2,-0.3102154468315401,0,,1,-0.4511464853153587,-0.1409310384838186
Jim Harbaugh,00-0027948,Blaine Gabbert,2014,2014,1,2,-0.3102154468315401,0,,1,-0.4511464853153587,-0.1409310384838186
Bill Lazor,00-0027973,Andy Dalton,2017,2021,3,6,0.13066679973299,2,-0.2179521074254412,2,-0.1525991353286182,-0.2832659350616082
Brian Callahan,00-0027973,Andy Dalton,2019,2019,1,8,0.0435120729433822,1,-0.4391216690042075,3,-0.1915192304927836,-0.2350313034361658
Chris Tabor,00-0027973,Andy Dalton,2023,2023,1,11,-0.0424789994494816,0,,1,-0.1983137829912024,-0.1558347835417207
Dennis Allen,00-0027973,Andy Dalton,2022,2022,1,10,-0.0360384506278264,1,-0.1068844876660341,1,-0.1983137829912024,-0.1622753323633759
Frank Reich; fired on November 27,00-0027973,Andy Dalton,2023,2023,1,11,-0.0424789994494816,0,,1,-0.1983137829912024,-0.1558347835417207
Hue Jackson,00-0027973,Andy Dalton,2014,2015,2,3,0.1150737173234263,2,0.1199768725496939,7,-0.1786796677150239,-0.2937533850384503
Kellen Moore,00-0027973,Andy Dalton,2020,2020,1,9,-0.0101138983841277,1,-0.2693594208211144,2,-0.1525991353286182,-0.1424852369444904
Ken Zampese,00-0027973,Andy Dalton,2016,2016,1,5,0.1170349794139334,1,0.1988259013282732,6,-0.2415972625555734,-0.3586322419695069
"Ken Zampese (fired Sept 15, 2017)",00-0027973,Andy Dalton,2017,2017,1,6,0.13066679973299,1,-0.3192540322580645,5,-0.2260659086150752,-0.3567327083480653
Matt Nagy,00-0027973,Andy Dalton,2021,2021,1,10,-0.0360384506278264,0,,2,-0.1525991353286182,-0.1165606847007918
Mike McCarthy,00-0027973,Andy Dalton,2020,2020,1,9,-0.0101138983841277,1,-0.2693594208211144,2,-0.1525991353286182,-0.1424852369444904
Pete Carmichael,00-0027973,Andy Dalton,2022,2022,1,10,-0.0360384506278264,1,-0.1068844876660341,1,-0.1983137829912024,-0.1622753323633759
Thomas Brown,00-0027973,Andy Dalton,2023,2023,1,11,-0.0424789994494816,0,,1,-0.1983137829912024,-0.1558347835417207
Zac Taylor,00-0027973,Andy Dalton,2019,2019,1,8,0.0435120729433822,1,-0.4391216690042075,3,-0.1915192304927836,-0.2350313034361658
Geep Chryst,00-0027974,Colin Kaepernick,2015,2015,1,2,0.015876138024053,0,,1,-0.4574240986717267,-0.4733002366957797
Jim Tomsula,00-0027974,Colin Kaepernick,2015,2015,1,2,0.015876138024053,0,,1,-0.4574240986717267,-0.4733002366957797
Brian Daboll,00-0028118,Tyrod Taylor,2022,2023,2,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
David Culley,00-0028118,Tyrod Taylor,2021,2021,1,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Freddie Kitchens,00-0028118,Tyrod Taylor,2018,2018,1,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Hue Jackson,00-0028118,Tyrod Taylor,2018,2018,1,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Jeff Ulbrich,00-0028118,Tyrod Taylor,2024,2024,1,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Mike Kafka,00-0028118,Tyrod Taylor,2022,2023,2,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Nathaniel Hackett,00-0028118,Tyrod Taylor,2024,2024,1,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Rick Dennison,00-0028118,Tyrod Taylor,2017,2017,1,2,0.2019647080064572,1,-0.2567540322580645,1,-0.4291982922201138,-0.631163000226571
Robert Saleh (fired on October 8),00-0028118,Tyrod Taylor,2024,2024,1,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Sean McDermott,00-0028118,Tyrod Taylor,2017,2017,1,2,0.2019647080064572,1,-0.2567540322580645,1,-0.4291982922201138,-0.631163000226571
Shane Steichen,00-0028118,Tyrod Taylor,2019,2020,2,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Tim Kelly,00-0028118,Tyrod Taylor,2021,2021,1,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Todd Haley,00-0028118,Tyrod Taylor,2018,2018,1,3,0.0490584612516166,0,,1,-0.4291982922201138,-0.4782567534717304
Bill Musgrave,00-0028986,Case Keenum,2018,2018,1,2,-0.1417852919935427,1,-0.2255040322580644,1,-0.491650182592818,-0.3498648905992753
Vance Joseph,00-0028986,Case Keenum,2018,2018,1,2,-0.1417852919935427,1,-0.2255040322580644,1,-0.491650182592818,-0.3498648905992753
Brian Schottenheimer,00-0029263,Russell Wilson,2018,2020,3,6,0.30254179973299,3,0.1874913720483032,4,-0.1359192015026929,-0.4384610012356829
Jerry Rosburg,00-0029263,Russell Wilson,2022,2022,1,10,0.2452115493721735,1,-0.3670754928315412,2,-0.125495946179058,-0.3707074955512316
Joe Lombardi,00-0029263,Russell Wilson,2023,2023,1,11,0.1895490909900176,1,-0.0756344876660341,1,-0.175357404692082,-0.3649064956820996
Justin Outten,00-0029263,Russell Wilson,2022,2022,1,10,0.2452115493721735,1,-0.3670754928315412,2,-0.125495946179058,-0.3707074955512316
Sean Payton,00-0029263,Russell Wilson,2023,2023,1,11,0.1895490909900176,1,-0.0756344876660341,1,-0.175357404692082,-0.3649064956820996
Shane Waldron,00-0029263,Russell Wilson,2021,2021,1,9,0.2641916571714278,1,0.0743905791788855,3,-0.2060224617298857,-0.4702141189013135
Gary Kubiak,00-0029604,Kirk Cousins,2020,2020,1,5,0.0318250863153557,1,0.1546283309957924,4,-0.0109192015026929,-0.0427442878180486
Kevin O'Connell,00-0029604,Kirk Cousins,2022,2023,2,7,0.0375920488216366,2,-0.0182299902487876,1,0.0433925953079179,0.0058005464862812
Kevin Stefanski,00-0029604,Kirk Cousins,2018,2019,2,3,0.1254265488092203,2,-0.1085771074254412,5,0.0221903049970041,-0.1032362438122162
Klint Kubiak,00-0029604,Kirk Cousins,2021,2021,1,6,0.0522922937620951,1,-0.0506094208211144,3,0.0023108716034475,-0.0499814221586476
Matt Cavanaugh,00-0029604,Kirk Cousins,2017,2017,1,2,0.2293518725496938,1,-0.0824240986717267,7,-0.0151718128379802,-0.2445236853876741
Mike Zimmer,00-0029604,Kirk Cousins,2018,2021,4,3,0.1254265488092203,4,-0.0282838261690511,3,0.0023108716034475,-0.1231156772057728
Wes Phillips,00-0029604,Kirk Cousins,2022,2023,2,7,0.0375920488216366,2,-0.0182299902487876,1,0.0433925953079179,0.0058005464862812
Rob Chudzinski,00-0029668,Andrew Luck,2015,2016,2,3,0.2609070506567597,1,0.1113535146846412,1,0.1494959677419355,-0.1114110829148242
Adam Gase,00-0029701,Ryan Tannehill,2016,2018,2,4,-0.0143571544037435,2,-0.2289502587867116,4,0.1003858086875796,0.1147429630913232
Arthur Smith,00-0029701,Ryan Tannehill,2019,2020,2,6,-0.0858881891980662,2,0.3314890742014872,2,-0.1307174568263278,-0.0448292676282616
Bill Lazor,00-0029701,Ryan Tannehill,2014,2014,1,2,-0.0602154468315401,1,0.1844020456333595,7,-0.0253938646297654,0.0348215822017747
Clyde Christensen,00-0029701,Ryan Tannehill,2016,2016,1,4,-0.0143571544037435,1,-0.0448964853153587,5,-0.0022921595015491,0.0120649949021943
Dan Campbell,00-0029701,Ryan Tannehill,2015,2015,1,3,0.0213237173234264,1,-0.1213997695852534,6,-0.0093928804705174,-0.0307165977939438
Dowell Loggains,00-0029701,Ryan Tannehill,2018,2018,1,5,-0.0204650205860665,1,-0.4130040322580645,4,0.1003858086875796,0.1208508292736462
Joe Philbin {{small|(fired on October 5)}},00-0029701,Ryan Tannehill,2015,2015,1,3,0.0213237173234264,1,-0.1213997695852534,6,-0.0093928804705174,-0.0307165977939438
Zac Taylor,00-0029701,Ryan Tannehill,2015,2015,1,3,0.0213237173234264,1,-0.1213997695852534,6,-0.0093928804705174,-0.0307165977939438
Anthony Lynn,00-0030565,Geno Smith,2018,2018,1,2,-0.2320904468315401,0,,4,-0.0812317015026929,0.1508587453288471
Ben McAdoo,00-0030565,Geno Smith,2017,2017,1,2,-0.2320904468315401,0,,4,-0.0812317015026929,0.1508587453288471
Brian Schottenheimer,00-0030565,Geno Smith,2020,2020,1,2,-0.2320904468315401,0,,4,-0.0812317015026929,0.1508587453288471
Chan Gailey,00-0030565,Geno Smith,2015,2016,2,2,-0.2320904468315401,0,,4,-0.0812317015026929,0.1508587453288471
Ken Whisenhunt,00-0030565,Geno Smith,2018,2018,1,2,-0.2320904468315401,0,,4,-0.0812317015026929,0.1508587453288471
Mike Macdonald,00-0030565,Geno Smith,2024,2024,1,4,-0.0564039518289339,1,-0.0131344876660341,1,-0.550357404692082,-0.493953452863148
Mike Sullivan,00-0030565,Geno Smith,2017,2017,1,2,-0.2320904468315401,0,,4,-0.0812317015026929,0.1508587453288471
Ryan Grubb,00-0030565,Geno Smith,2024,2024,1,4,-0.0564039518289339,1,-0.0131344876660341,1,-0.550357404692082,-0.493953452863148
Shane Waldron,00-0030565,Geno Smith,2021,2023,3,2,-0.2320904468315401,2,0.1192825431736721,2,-0.281745946179058,-0.0496554993475179
Steve Spagnuolo,00-0030565,Geno Smith,2017,2017,1,2,-0.2320904468315401,0,,4,-0.0812317015026929,0.1508587453288471
Todd Bowles,00-0030565,Geno Smith,2015,2016,2,2,-0.2320904468315401,0,,4,-0.0812317015026929,0.1508587453288471
Joe Brady,00-0031237,Teddy Bridgewater,2020,2020,1,2,0.1116595531684598,1,-0.1317540322580644,1,-0.054150182592818,-0.1658097357612778
Matt Rhule,00-0031237,Teddy Bridgewater,2020,2020,1,2,0.1116595531684598,1,-0.1317540322580644,1,-0.054150182592818,-0.1658097357612778
Pete Carmichael,00-0031237,Teddy Bridgewater,2018,2019,2,2,0.1116595531684598,0,,2,-0.0929521074254412,-0.204611660593901
Sean Payton,00-0031237,Teddy Bridgewater,2018,2019,2,2,0.1116595531684598,0,,2,-0.0929521074254412,-0.204611660593901
Jon Gruden,00-0031280,Derek Carr,2018,2020,3,4,-0.0534196544037435,3,-0.02385820541505,4,-0.1261766913124203,-0.0727570369086767
Josh McDaniels,00-0031280,Derek Carr,2022,2022,1,8,-0.0580504270566177,1,-0.0953716690042075,2,-0.1150924568263278,-0.05704202976971
Mick Lombardi,00-0031280,Derek Carr,2022,2022,1,8,-0.0580504270566177,1,-0.0953716690042075,2,-0.1150924568263278,-0.05704202976971
Pete Carmichael,00-0031280,Derek Carr,2023,2023,1,9,-0.062197231717461,1,0.0743905791788855,1,-0.3045754928315412,-0.2423782611140801
Rich Bisaccia,00-0031280,Derek Carr,2021,2021,1,7,-0.0407504619800177,1,-0.179150182592818,3,-0.108518860885621,-0.0677683989056033
Todd Downing,00-0031280,Derek Carr,2017,2017,1,3,-0.0620096160099069,1,-0.0276497695852534,7,-0.0823259116421187,-0.0203162956322118
Bruce Arians,00-0031503,Jameis Winston,2019,2019,1,4,0.1418928455962564,1,-0.0761464853153587,2,-0.4036817265395894,-0.5455745721358458
Byron Leftwich,00-0031503,Jameis Winston,2019,2019,1,4,0.1418928455962564,1,-0.0761464853153587,2,-0.4036817265395894,-0.5455745721358458
Dennis Allen,00-0031503,Jameis Winston,2022,2023,2,6,0.028695144135267,0,,1,-0.4881094208211144,-0.5168045649563815
Pete Carmichael,00-0031503,Jameis Winston,2020,2023,4,5,0.0982849794139334,1,-0.3192540322580645,1,-0.4881094208211144,-0.5863944002350479
Sean Payton,00-0031503,Jameis Winston,2020,2021,2,5,0.0982849794139334,1,-0.3192540322580645,1,-0.4881094208211144,-0.5863944002350479
Greg Olson,00-0032268,Marcus Mariota,2020,2021,2,4,-0.1237321544037435,0,,1,-0.147900182592818,-0.0241680281890744
Jon Gruden,00-0032268,Marcus Mariota,2020,2020,1,4,-0.1237321544037435,0,,1,-0.147900182592818,-0.0241680281890744
Matt LaFleur,00-0032268,Marcus Mariota,2018,2018,1,3,-0.0828429493432402,1,-0.2463997695852534,1,-0.147900182592818,-0.0650572332495777
Mike Vrabel,00-0032268,Marcus Mariota,2018,2019,2,3,-0.0828429493432402,1,-0.2463997695852534,1,-0.147900182592818,-0.0650572332495777
Rich Bisaccia,00-0032268,Marcus Mariota,2021,2021,1,4,-0.1237321544037435,0,,1,-0.147900182592818,-0.0241680281890744
Mike Groh,00-0032950,Carson Wentz,2018,2019,2,2,0.2210345531684598,2,0.0315011380240529,2,-0.1574102919935427,-0.3784448451620026
Kellen Moore,00-0033077,Dak Prescott,2019,2022,4,3,0.2504903839900931,3,0.2839740331616517,3,0.1103729091939533,-0.1401174747961397
Mike McCarthy,00-0033077,Dak Prescott,2020,2024,5,4,0.2903303455962564,4,0.1043875043682957,1,0.3556405791788856,0.0653102335826291
Anthony Lynn,00-0033106,Jared Goff,2021,2021,1,4,0.1246928349611861,1,-0.2386740986717267,4,0.2685911738309488,0.1438983388697627
Ben Johnson,00-0033106,Jared Goff,2022,2024,3,5,0.0520194482346035,3,0.2812413720483033,1,0.2306405791788855,0.1786211309442819
Jedd Fisch,00-0033106,Jared Goff,2019,2019,1,2,0.4106587973726783,1,-0.0901497695852534,6,0.1005490185561183,-0.31010977881656
Kevin O'Connell,00-0033106,Jared Goff,2020,2020,1,3,0.243722608386701,1,-0.2323964853153587,5,0.1671381193304137,-0.0765844890562873
Alex Van Pelt,00-0033119,Jacoby Brissett,2022,2024,2,2,-0.1172421102366282,1,0.0557459677419355,1,-0.2381094208211144,-0.1208673105844861
Brian Flores,00-0033119,Jacoby Brissett,2021,2021,1,2,-0.1172421102366282,0,,2,-0.0911817265395894,0.0260603836970387
Eric Bieniemy,00-0033119,Jacoby Brissett,2023,2023,1,3,-0.0595794175771069,0,,1,-0.2381094208211144,-0.1785300032440074
Eric Studesville,00-0033119,Jacoby Brissett,2021,2021,1,2,-0.1172421102366282,0,,2,-0.0911817265395894,0.0260603836970387
George Godsey,00-0033119,Jacoby Brissett,2021,2021,1,2,-0.1172421102366282,0,,2,-0.0911817265395894,0.0260603836970387
Jerod Mayo,00-0033119,Jacoby Brissett,2024,2024,1,3,-0.0595794175771069,0,,1,-0.2381094208211144,-0.1785300032440074
Kevin Stefanski,00-0033119,Jacoby Brissett,2022,2022,1,2,-0.1172421102366282,1,0.0557459677419355,1,-0.2381094208211144,-0.1208673105844861
Ron Rivera,00-0033119,Jacoby Brissett,2023,2023,1,3,-0.0595794175771069,0,,1,-0.2381094208211144,-0.1785300032440074
Romeo Crennel,00-0033537,Deshaun Watson,2020,2020,1,2,0.1762837973726783,1,0.1598502304147465,1,-0.4130040322580645,-0.5892878296307428
Alex Van Pelt,00-0034855,Baker Mayfield,2020,2021,2,2,0.0022845531684598,2,0.109626138024053,3,0.0876405621591302,0.0853560089906703
Ben McAdoo,00-0034855,Baker Mayfield,2022,2022,1,4,0.0559553455962564,0,,3,0.0876405621591302,0.0316852165628737
Dave Canales,00-0034855,Baker Mayfield,2023,2023,1,4,0.0559553455962564,1,0.1363259013282732,2,0.0632978925745587,0.0073425469783023
Kevin Stefanski,00-0034855,Baker Mayfield,2020,2021,2,2,0.0022845531684598,2,0.109626138024053,3,0.0876405621591302,0.0853560089906703
Liam Coen,00-0034855,Baker Mayfield,2024,2024,1,5,0.0720294567426598,1,0.3057459677419355,1,-0.179150182592818,-0.2511796393354778
Steve Wilks,00-0034855,Baker Mayfield,2022,2022,1,4,0.0559553455962564,0,,3,0.0876405621591302,0.0316852165628737
Ken Dorsey,00-0034857,Josh Allen,2022,2022,1,4,0.1184553455962564,1,0.4238535146846413,3,0.3897238954924636,0.2712685498962071
Ken Dorsey; fired after Week 10,00-0034857,Josh Allen,2023,2023,1,5,0.1795349794139334,1,0.4175759013282732,2,0.3757978925745587,0.1962629131606253
Ben McAdoo,00-0034869,Sam Darnold,2022,2022,1,4,-0.3815446544037435,0,,2,0.0476728925745587,0.4292175469783022
Grant Udinski,00-0034869,Sam Darnold,2024,2024,1,4,-0.3815446544037435,1,0.0244959677419355,1,0.0708498174071819,0.4523944718109254
Jeff Nixon,00-0034869,Sam Darnold,2021,2021,1,3,-0.3640929493432402,1,-0.4338997695852534,2,0.0476728925745587,0.4117658419177989
Joe Brady (fired mid season),00-0034869,Sam Darnold,2021,2021,1,3,-0.3640929493432402,1,-0.4338997695852534,2,0.0476728925745587,0.4117658419177989
Kevin O'Connell,00-0034869,Sam Darnold,2024,2024,1,4,-0.3815446544037435,1,0.0244959677419355,1,0.0708498174071819,0.4523944718109254
Kyle Shanahan,00-0034869,Sam Darnold,2023,2023,1,4,-0.3815446544037435,0,,2,0.0476728925745587,0.4292175469783022
Matt Rhule,00-0034869,Sam Darnold,2021,2021,1,3,-0.3640929493432402,1,-0.4338997695852534,2,0.0476728925745587,0.4117658419177989
Steve Wilks,00-0034869,Sam Darnold,2022,2022,1,4,-0.3815446544037435,0,,2,0.0476728925745587,0.4292175469783022
Wes Phillips,00-0034869,Sam Darnold,2024,2024,1,4,-0.3815446544037435,1,0.0244959677419355,1,0.0708498174071819,0.4523944718109254
Brian Daboll,00-0035710,Daniel Jones,2022,2024,3,3,-0.3015929493432402,3,-0.2079067845241129,1,0.2432459677419355,0.5448389170851757
Freddie Kitchens,00-0035710,Daniel Jones,2021,2021,1,2,-0.2164654468315401,1,-0.4718479543666405,4,-0.0951185964576008,0.1213468503739392
Jason Garrett (fired after week 11),00-0035710,Daniel Jones,2021,2021,1,2,-0.2164654468315401,1,-0.4718479543666405,4,-0.0951185964576008,0.1213468503739392
Mike Kafka,00-0035710,Daniel Jones,2022,2024,3,3,-0.3015929493432402,3,-0.2079067845241129,1,0.2432459677419355,0.5448389170851757
Brandon Staley; fired on December 15,00-0036355,Justin Herbert,2023,2023,1,3,0.2400737173234264,1,-0.2463997695852534,2,-0.0480352919935427,-0.2881090093169691
Giff Smith,00-0036355,Justin Herbert,2023,2023,1,3,0.2400737173234264,1,-0.2463997695852534,2,-0.0480352919935427,-0.2881090093169691
Kellen Moore,00-0036355,Justin Herbert,2023,2023,1,3,0.2400737173234264,1,-0.2463997695852534,2,-0.0480352919935427,-0.2881090093169691
Brian Johnson,00-0036389,Jalen Hurts,2023,2023,1,2,0.3325337973726783,1,0.2848502304147465,2,0.1394647080064573,-0.193069089366221
Kellen Moore,00-0036389,Jalen Hurts,2024,2024,1,3,0.3166392750533677,1,0.2988535146846413,1,-0.0199240986717267,-0.3365633737250944
