coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Josh McDaniels,00-0016193,Vinny Testaverde,2006,2006,1,3,-0.1405743015681345,0,,1,-0.3463541666666666,-0.205779865098532
Mike Heimerdinger,00-0016193,Vinny Testaverde,2005,2005,1,3,-0.1405743015681345,0,,1,-0.3463541666666666,-0.205779865098532
Dennis Green,00-0017200,Kurt Warner,2005,2006,2,3,0.2999994145966805,1,-0.179150182592818,3,0.0334768662271034,-0.266522548369577
Keith Rowen,00-0017200,Kurt Warner,2005,2006,2,3,0.2999994145966805,1,-0.179150182592818,3,0.0334768662271034,-0.266522548369577
Mike Kruczek,00-0017200,Kurt Warner,2006,2006,1,4,0.1802120152993059,0,,3,0.0334768662271034,-0.1467351490722024
Todd Haley,00-0017200,Kurt Warner,2007,2008,2,4,0.1802120152993059,2,0.0567825431736722,1,-0.0131344876660341,-0.1933465029653399
Brian Schottenheimer,00-0019559,Chad Pennington,2006,2007,2,3,0.203951930244249,2,-0.1242021074254412,1,0.2483783309957924,0.0444264007515433
Eric Mangini,00-0019559,Chad Pennington,2006,2007,2,3,0.203951930244249,2,-0.1242021074254412,1,0.2483783309957924,0.0444264007515433
Mike Heimerdinger,00-0019559,Chad Pennington,2005,2005,1,3,0.203951930244249,0,,3,-8.62795169666771e-06,-0.2039605581959457
Bill O'Brien,00-0019596,Tom Brady,2011,2011,1,9,0.2558530519453543,1,0.4556155123339658,11,0.2236884858248818,-0.0321645661204725
Bruce Arians,00-0019596,Tom Brady,2020,2021,2,18,0.2678016013286586,2,0.3098958333333333,1,-0.2213541666666666,-0.4891557679953252
Josh McDaniels,00-0019596,Tom Brady,2006,2019,11,5,0.1500033192023454,10,0.2782481629222817,3,0.1328125,-0.0171908192023454
Greg Olson,00-0019599,Marc Bulger,2006,2007,2,4,0.038755334961186,2,-0.1070890654648956,2,-0.5435109257985128,-0.5822662607596989
Jim Mora Jr.,00-0020245,Mike Vick,2006,2006,1,3,0.0839564314037949,1,-0.0824240986717267,3,0.1063935328937701,0.0224371014899751
Aaron Kromer,00-0020531,Drew Brees,2012,2012,1,10,0.2873636443665271,1,0.3306155123339658,8,0.2694857305092124,-0.0178779138573147
Doug Marrone,00-0020531,Drew Brees,2006,2008,3,4,0.234067834961186,3,0.3272238954924635,12,0.2868495644792335,0.0527817295180474
Joe Vitt,00-0020531,Drew Brees,2012,2012,1,10,0.2873636443665271,1,0.3306155123339658,8,0.2694857305092124,-0.0178779138573147
Pete Carmichael Jr.,00-0020531,Drew Brees,2010,2010,1,8,0.2786026696647409,1,0.2306405791788855,10,0.2900675863576125,0.0114649166928715
"Pete Carmichael, Jr.",00-0020531,Drew Brees,2009,2014,5,7,0.2739918609031621,5,0.3363994325629865,6,0.2549261719594973,-0.0190656889436647
Joe Pendry,00-0020608,David Carr,2005,2005,1,3,-0.1349262826765736,1,-0.2463997695852534,1,-0.1386464853153587,-0.003720202638785
Dick Jauron,00-0021141,Joey Harrington,2005,2005,1,3,-0.2495096160099069,1,-0.2776497695852534,2,-0.4074102919935427,-0.1579006759836358
Mike Mularkey,00-0021141,Joey Harrington,2006,2006,1,4,-0.2565446544037435,1,-0.3573964853153587,1,-0.4574240986717267,-0.2008794442679831
Nick Saban,00-0021141,Joey Harrington,2006,2006,1,4,-0.2565446544037435,1,-0.3573964853153587,1,-0.4574240986717267,-0.2008794442679831
Ted Tollner,00-0021141,Joey Harrington,2005,2005,1,3,-0.2495096160099069,1,-0.2776497695852534,2,-0.4074102919935427,-0.1579006759836358
Aaron Kromer,00-0021206,Josh McCown,2013,2013,1,2,-0.2771360265191835,0,,3,-0.3856763196480937,-0.1085402931289101
Hue Jackson,00-0021206,Josh McCown,2016,2016,1,4,-0.3257358101804128,0,,1,-0.408357771260997,-0.0826219610805841
Jeff Davidson,00-0021206,Josh McCown,2008,2009,2,2,-0.2771360265191835,0,,3,-0.3856763196480937,-0.1085402931289101
Jeff Tedford,00-0021206,Josh McCown,2014,2014,1,2,-0.2771360265191835,1,-0.425357404692082,2,-0.3658357771260997,-0.0886997506069161
John DeFilippo,00-0021206,Josh McCown,2015,2015,1,3,-0.3265431525768164,1,-0.3233137829912024,1,-0.408357771260997,-0.0818146186841806
John Fox,00-0021206,Josh McCown,2008,2009,2,2,-0.2771360265191835,0,,3,-0.3856763196480937,-0.1085402931289101
Lovie Smith,00-0021206,Josh McCown,2011,2014,2,2,-0.2771360265191835,1,-0.425357404692082,2,-0.3658357771260997,-0.0886997506069161
Marc Trestman,00-0021206,Josh McCown,2013,2013,1,2,-0.2771360265191835,0,,3,-0.3856763196480937,-0.1085402931289101
Al Saunders,00-0021429,Carson Palmer,2011,2011,1,6,0.0990195208323103,1,0.0296283309957924,5,-0.1128608787112107,-0.211880399543521
Dennis Allen,00-0021429,Carson Palmer,2012,2012,1,7,0.0891064937128077,1,-0.2693594208211144,4,-0.0737362431837348,-0.1628427368965425
Greg Knapp,00-0021429,Carson Palmer,2012,2012,1,7,0.0891064937128077,1,-0.2693594208211144,4,-0.0737362431837348,-0.1628427368965425
Hue Jackson,00-0021429,Carson Palmer,2011,2011,1,6,0.0990195208323103,1,0.0296283309957924,5,-0.1128608787112107,-0.211880399543521
Bill Callahan,00-0021678,Tony Romo,2012,2013,2,5,0.2298307890330778,2,0.1817825431736721,1,0.4556155123339658,0.225784723300888
Gary Kubiak,00-0022121,Rex Grossman,2009,2009,1,2,-0.208148127450306,0,,1,-0.1891216690042075,0.0190264584460985
Jim Fassel,00-0022164,Kyle Boller,2005,2006,2,2,-0.1227154468315401,1,-0.3155979543666405,1,-0.3261464853153587,-0.2034310384838185
Ben McAdoo,00-0022803,Eli Manning,2014,2017,4,9,0.0892457707218681,4,-0.1415952920452149,1,-0.0541982922201138,-0.1434440629419819
Kevin Gilbride,00-0022803,Eli Manning,2007,2013,7,2,0.1919087973726782,7,0.0599134773930652,5,-0.1241158920801947,-0.316024689452873
Mike Sullivan,00-0022803,Eli Manning,2016,2017,2,11,0.0924319959999307,2,-0.3899605938416421,1,-0.0541982922201138,-0.1466302882200445
