coach,team,start,end,n_seasons,avg_off_pctile,n_distinct_qbs,qb_list
Clyde Christensen,IND,2010,2011,2,0.5,2,Peyton Manning (1yr); Curtis Painter (1yr)
Clyde Christensen,MIA,2016,2017,2,0.296875,2,Jay Cutler (1yr); Ryan Tannehill (1yr)
Clyde Christensen,TB,2001,2001,1,0.6129032258064516,1,Brad Johnson (1yr)
Curtis Modkins,BUF,2010,2012,3,0.375,1,Ryan Fitzpatrick (3yr)
Curtis Modkins,SF,2016,2016,1,0.0625,1,Colin Kaepernick (1yr)
Dan Campbell,DET,2021,2025,5,0.71875,1,Jared Goff (5yr)
Dan Campbell,MIA,2015,2015,1,0.40625,1,Ryan Tannehill (1yr)
Dan Henning,CAR,2002,2006,5,0.44375,2,Jake Delhomme (4yr); Rodney Peete (1yr)
Dan Henning,MIA,2008,2010,3,0.5520833333333334,2,Chad Pennington (1yr); Chad Henne (2yr)
Dan Pitcher,CIN,2024,2025,2,0.625,1,Joe Burrow (2yr)
Dan Quinn,ATL,2015,2020,6,0.703125,1,Matt Ryan (6yr)
Dan Quinn,WAS,2024,2025,2,0.71875,1,Jayden Daniels (2yr)
Darrell Bevell,DET,2019,2020,2,0.375,1,Matthew Stafford (2yr)
Darrell Bevell,JAX,2021,2021,1,0.15625,1,Trevor Lawrence (1yr)
Darrell Bevell,MIN,2006,2010,5,0.3875,4,Brett Favre (2yr); Gus Frerotte (1yr); Brad Johnson (1yr); Tarvaris Jackson (1yr)
Darrell Bevell,SEA,2011,2017,7,0.71875,2,Tarvaris Jackson (1yr); Russell Wilson (6yr)
Darren Rizzi,NO,2024,2024,1,0.25,1,Derek Carr (1yr)
Dave Campo,DAL,2002,2002,1,0.09375,1,Chad Hutchinson (1yr)
Dave Canales,CAR,2024,2025,2,0.265625,2,Andy Dalton (1yr); Bryce Young (1yr)
Dave Canales,TB,2023,2023,1,0.65625,1,Baker Mayfield (1yr)
Dave McGinnis,ARI,2001,2003,3,0.27688172043010756,2,Jeff Blake (1yr); Jake Plummer (2yr)
Dave Ragone,ATL,2021,2023,3,0.2708333333333333,3,Matt Ryan (1yr); Marcus Mariota (1yr); Desmond Ridder (1yr)
Dave Wannstedt,MIA,2001,2003,3,0.5379704301075269,1,Jay Fiedler (3yr)
Dave Wannstedt (Games 1-9),MIA,2004,2004,1,0.0625,1,A.J. Feeley (1yr)
David Culley,HOU,2021,2021,1,0.0625,1,Davis Mills (1yr)
DeMeco Ryans,HOU,2023,2025,3,0.3958333333333333,1,C.J. Stroud (3yr)
Declan Doyle,CHI,2025,2025,1,0.78125,1,Caleb Williams (1yr)
Dennis Allen,LV,2012,2014,3,0.20833333333333334,3,Carson Palmer (1yr); Terrelle Pryor (1yr); Derek Carr (1yr)
Dennis Allen,NO,2022,2023,2,0.484375,2,Andy Dalton (1yr); Derek Carr (1yr)
Dennis Allen (fired on November 4),NO,2024,2024,1,0.25,1,Derek Carr (1yr)
Dennis Erickson,SF,2003,2003,1,0.71875,1,Jeff Garcia (1yr)
Dennis Green,ARI,2004,2006,3,0.3645833333333333,3,Kurt Warner (1yr); Josh McCown (1yr); Matt Leinart (1yr)
Dick Jauron,BUF,2006,2009,4,0.234375,3,J.P. Losman (1yr); Ryan Fitzpatrick (1yr); Trent Edwards (2yr)
Dick Jauron,CHI,2001,2003,3,0.2745295698924731,2,Jim Miller (2yr); Kordell Stewart (1yr)
Dick Jauron,DET,2005,2005,1,0.25,1,Joey Harrington (1yr)
Dick LeBeau,CIN,2001,2002,2,0.2696572580645161,1,Jon Kitna (2yr)
Dick Vermeil,KC,2001,2005,5,0.942741935483871,1,Trent Green (5yr)
Dirk Koetter,ATL,2012,2014,3,0.6458333333333334,1,Matt Ryan (3yr)
Dirk Koetter,ATL,2019,2020,2,0.5625,1,Matt Ryan (2yr)
Dirk Koetter,JAX,2007,2007,1,0.9375,1,David Garrard (1yr)
Dirk Koetter,JAX,2009,2011,3,0.4166666666666667,2,David Garrard (2yr); Blaine Gabbert (1yr)
Dirk Koetter,TB,2015,2018,4,0.59375,1,Jameis Winston (4yr)
