experience_year,n,avg_pctile
0,73,0.31984644277507734
1,89,0.4568344508880029
2,82,0.5030979543666405
3,77,0.5276497695852534
4,67,0.5448964853153587
5,68,0.5199240986717267
6,60,0.5692540322580645
7,53,0.585400182592818
8,46,0.5641216690042076
9,44,0.5193594208211144
10,36,0.5545754928315412
11,34,0.48188448766603414
12,22,0.581607404692082
13,22,0.5108137829912024
14,17,0.5541982922201139
15,11,0.689607771260997
16,10,0.7125
17,7,0.6026785714285714
18,12,0.6276041666666666
