coach,team,start,end,n_seasons
Bruce Coslet,DAL,2002,2002,1
Butch Davis,CLE,2001,2001,1
Byron Leftwich,TB,2019,2022,4
Cam Cameron,BAL,2008,2012,5
Cam Cameron,LAC,2002,2006,5
Cam Cameron,MIA,2007,2007,1
Carl Smith,JAX,2005,2006,2
Chad O'Shea,MIA,2019,2019,1
Chan Gailey,BUF,2010,2012,3
Chan Gailey,KC,2008,2008,1
Chan Gailey,MIA,2001,2001,1
Chan Gailey,MIA,2020,2020,1
Chan Gailey,NYJ,2015,2016,2
Charlie Weis,KC,2010,2010,1
Charlie Weis,NE,2001,2004,4
Chip Kelly,PHI,2013,2014,2
Chip Kelly,SF,2016,2016,1
Chip Kelly {{small|(fired on December 29)}},PHI,2015,2015,1
Chris Beatty,CHI,2024,2024,1
Chris Foerster,MIA,2004,2004,1
Chris Palmer,HOU,2002,2005,4
Chris Palmer,TEN,2011,2011,1
"Chris Palmer (fired Nov 26, 2012)",TEN,2012,2012,1
Chris Tabor,CAR,2023,2023,1
Chuck Pagano,IND,2012,2017,6
Clarence Shelmon,LAC,2007,2011,5
Clyde Christensen,IND,2010,2011,2
Clyde Christensen,MIA,2016,2017,2
Clyde Christensen,TB,2001,2001,1
Curtis Modkins,BUF,2010,2012,3
Curtis Modkins,SF,2016,2016,1
Dan Campbell,DET,2021,2025,5
Dan Campbell,MIA,2015,2015,1
Dan Henning,CAR,2002,2006,5
Dan Henning,MIA,2008,2010,3
Dan Pitcher,CIN,2024,2025,2
Dan Quinn,ATL,2015,2020,6
Dan Quinn,WAS,2024,2025,2
Darrell Bevell,DET,2019,2020,2
Darrell Bevell,JAX,2021,2021,1
Darrell Bevell,MIN,2006,2010,5
Darrell Bevell,SEA,2011,2017,7
Darren Rizzi,NO,2024,2024,1
Dave Campo,DAL,2002,2002,1
Dave Canales,CAR,2024,2025,2
Dave Canales,TB,2023,2023,1
Dave McGinnis,ARI,2001,2003,3
Dave Ragone,ATL,2021,2023,3
Dave Wannstedt,MIA,2001,2003,3
