coach,qb_id,qb_name,n_seasons_with,pctile_with,n_seasons_elsewhere,pctile_elsewhere,delta
Brad Childress,00-0005589,Gus Frerotte,1,0.34375,1,0.5,-0.15625
Brad Childress,00-0008442,Brad Johnson,1,0.125,5,0.4887096774193548,-0.3637096774193548
Brad Childress,00-0011022,Donovan McNabb,4,0.5859375,7,0.6303283410138248,-0.044390841013824844
Brad Childress,00-0023436,Alex Smith,1,0.5625,13,0.43990384615384615,0.12259615384615385
Brad Childress,00-0024279,Tarvaris Jackson,1,0.53125,1,0.34375,0.1875
Brad Idzik,00-0027973,Andy Dalton,1,0.3125,11,0.4659090909090909,-0.15340909090909088
Brad Idzik,00-0039150,Bryce Young,1,0.21875,1,0.125,0.09375
Brandon Staley,00-0036355,Justin Herbert,2,0.71875,4,0.453125,0.265625
Brandon Staley; fired on December 15,00-0036355,Justin Herbert,1,0.28125,5,0.59375,-0.3125
Brian Billick,00-0001335,Jeff Blake,1,0.3125,2,0.3704637096774194,-0.05796370967741937
Brian Billick,00-0006300,Elvis Grbac,1,0.2258064516129032,1,0.8064516129032258,-0.5806451612903225
Brian Billick,00-0011024,Steve McNair,1,0.625,6,0.6058467741935484,0.019153225806451624
Brian Callahan,00-0027973,Andy Dalton,1,0.125,11,0.48295454545454547,-0.35795454545454547
Brian Callahan,00-0034771,Mason Rudolph,1,0.09375,1,0.0625,0.03125
Brian Callahan,00-0036442,Joe Burrow,4,0.59375,2,0.625,-0.03125
Brian Daboll,00-0023662,Matt Cassel,1,0.0625,5,0.44375,-0.38125
Brian Daboll,00-0027688,Colt McCoy,1,0.28125,1,0.21875,0.0625
Brian Daboll,00-0034857,Josh Allen,4,0.5703125,4,0.953125,-0.3828125
Brian Daboll,00-0035710,Daniel Jones,3,0.3229166666666667,4,0.296875,0.026041666666666685
Brian Flores,00-0023682,Ryan Fitzpatrick,1,0.21875,9,0.3506944444444444,-0.13194444444444442
Brian Flores,00-0036212,Tua Tagovailoa,2,0.40625,4,0.578125,-0.171875
Brian Johnson,00-0036389,Jalen Hurts,1,0.8125,4,0.7421875,0.0703125
Brian Schottenheimer,00-0005106,Brett Favre,1,0.625,10,0.6484879032258064,-0.023487903225806406
Brian Schottenheimer,00-0019559,Chad Pennington,2,0.453125,4,0.75,-0.296875
Brian Schottenheimer,00-0020679,Shaun Hill,1,0.125,2,0.3125,-0.1875
Brian Schottenheimer,00-0026898,Mark Sanchez,3,0.375,2,0.359375,0.015625
Brian Schottenheimer,00-0027854,Sam Bradford,1,0.375,4,0.2265625,0.1484375
Brian Schottenheimer,00-0029263,Russell Wilson,3,0.7604166666666666,10,0.628125,0.13229166666666659
Brian Schottenheimer,00-0033077,Dak Prescott,3,0.6666666666666666,6,0.75,-0.08333333333333337
Bruce Arians,00-0019596,Tom Brady,2,0.9375,19,0.8103247028862479,0.12717529711375208
Bruce Arians,00-0021429,Carson Palmer,4,0.4765625,8,0.578125,-0.1015625
Bruce Arians,00-0022924,Ben Roethlisberger,5,0.7,12,0.703125,-0.0031250000000000444
Bruce Arians,00-0029668,Andrew Luck,1,0.625,4,0.703125,-0.078125
Bruce Arians,00-0031503,Jameis Winston,1,0.46875,6,0.4427083333333333,0.026041666666666685
Bruce Coslet,00-0020562,Chad Hutchinson,1,0.09375,1,0.03125,0.0625
Butch Davis,00-0003535,Tim Couch,1,0.1290322580645161,2,0.34375,-0.2147177419354839
Byron Leftwich,00-0019596,Tom Brady,3,0.7604166666666666,18,0.8327732974910395,-0.07235663082437283
Byron Leftwich,00-0031503,Jameis Winston,1,0.46875,6,0.4427083333333333,0.026041666666666685
Cam Cameron,00-0020531,Drew Brees,4,0.7421875,15,0.875,-0.1328125
Cam Cameron,00-0022942,Philip Rivers,1,0.96875,14,0.7544642857142857,0.2142857142857143
Cam Cameron,00-0026158,Joe Flacco,5,0.6375,8,0.36328125,0.27421874999999996
Carl Smith,00-0021231,David Garrard,1,0.75,4,0.6640625,0.0859375
Carl Smith,00-0022177,Byron Leftwich,1,0.71875,2,0.5,0.21875
Chad O'Shea,00-0023682,Ryan Fitzpatrick,1,0.21875,9,0.3506944444444444,-0.13194444444444442
Chan Gailey,00-0005180,Jay Fiedler,1,0.6451612903225806,3,0.4949596774193548,0.1502016129032258
Chan Gailey,00-0023682,Ryan Fitzpatrick,5,0.4,5,0.275,0.125
Chan Gailey,00-0036212,Tua Tagovailoa,1,0.46875,5,0.53125,-0.0625
Charlie Weis,00-0019596,Tom Brady,4,0.6224798387096774,17,0.8694852941176471,-0.2470054554079697
Charlie Weis,00-0023662,Matt Cassel,1,0.6875,5,0.31875,0.36875
Chip Kelly,00-0026898,Mark Sanchez,1,0.59375,4,0.3125,0.28125
Chip Kelly,00-0027974,Colin Kaepernick,1,0.0625,2,0.53125,-0.46875
Chip Kelly,00-0029567,Nick Foles,1,0.90625,1,0.03125,0.875
Chip Kelly {{small|(fired on December 29)}},00-0027854,Sam Bradford,1,0.34375,4,0.234375,0.109375
Chris Beatty,00-0039918,Caleb Williams,1,0.21875,1,0.78125,-0.5625
Chris Palmer,00-0007091,Matt Hasselbeck,1,0.4375,10,0.5522177419354839,-0.1147177419354839
Chris Palmer,00-0020608,David Carr,4,0.2890625,1,0.40625,-0.1171875
Chris Tabor,00-0039150,Bryce Young,1,0.125,1,0.21875,-0.09375
Chuck Pagano,00-0007091,Matt Hasselbeck,1,0.125,10,0.5834677419354839,-0.4584677419354839
Chuck Pagano,00-0029668,Andrew Luck,4,0.6796875,1,0.71875,-0.0390625
Chuck Pagano,00-0033119,Jacoby Brissett,1,0.21875,3,0.4791666666666667,-0.2604166666666667
Clarence Shelmon,00-0022942,Philip Rivers,5,0.875,10,0.715625,0.15937500000000004
Clyde Christensen,00-0008442,Brad Johnson,1,0.6129032258064516,5,0.3911290322580645,0.22177419354838712
Clyde Christensen,00-0010346,Peyton Manning,1,0.90625,14,0.881192396313364,0.02505760368663601
Clyde Christensen,00-0024226,Jay Cutler,1,0.09375,9,0.4652777777777778,-0.3715277777777778
Clyde Christensen,00-0029701,Ryan Tannehill,1,0.5,9,0.5034722222222222,-0.00347222222222221
Curtis Modkins,00-0023682,Ryan Fitzpatrick,3,0.375,7,0.32142857142857145,0.05357142857142855
Curtis Modkins,00-0027974,Colin Kaepernick,1,0.0625,2,0.53125,-0.46875
Dan Campbell,00-0029701,Ryan Tannehill,1,0.40625,9,0.5138888888888888,-0.10763888888888884
Dan Campbell,00-0033106,Jared Goff,5,0.71875,4,0.6328125,0.0859375
Dan Henning,00-0004161,Jake Delhomme,4,0.5234375,2,0.5625,-0.0390625
Dan Henning,00-0019559,Chad Pennington,1,0.8125,5,0.61875,0.19374999999999998
Dan Henning,00-0026197,Chad Henne,2,0.421875,1,0.03125,0.390625
Dan Pitcher,00-0036442,Joe Burrow,2,0.625,4,0.59375,0.03125
Dan Quinn,00-0026143,Matt Ryan,6,0.703125,9,0.5694444444444444,0.13368055555555558
Darrell Bevell,00-0005106,Brett Favre,2,0.46875,9,0.6858198924731183,-0.21706989247311825
Darrell Bevell,00-0005589,Gus Frerotte,1,0.34375,1,0.5,-0.15625
Darrell Bevell,00-0008442,Brad Johnson,1,0.125,5,0.4887096774193548,-0.3637096774193548
Darrell Bevell,00-0026498,Matthew Stafford,2,0.375,14,0.5267857142857143,-0.1517857142857143
Darrell Bevell,00-0029263,Russell Wilson,6,0.78125,7,0.5535714285714286,0.2276785714285714
Darrell Bevell,00-0036971,Trevor Lawrence,1,0.15625,4,0.5625,-0.40625
Darren Rizzi,00-0031280,Derek Carr,1,0.25,10,0.4625,-0.21250000000000002
Dave Campo,00-0020562,Chad Hutchinson,1,0.09375,1,0.03125,0.0625
Dave Canales,00-0027973,Andy Dalton,1,0.3125,11,0.4659090909090909,-0.15340909090909088
Dave Canales,00-0034855,Baker Mayfield,1,0.65625,6,0.5520833333333334,0.10416666666666663
Dave Canales,00-0039150,Bryce Young,1,0.21875,1,0.125,0.09375
Dave McGinnis,00-0001335,Jeff Blake,1,0.03125,2,0.5110887096774194,-0.4798387096774194
Dave McGinnis,00-0013042,Jake Plummer,2,0.3996975806451613,5,0.6451612903225806,-0.24546370967741932
Dave Ragone,00-0026143,Matt Ryan,1,0.1875,14,0.6540178571428571,-0.4665178571428571
Dave Ragone,00-0032268,Marcus Mariota,1,0.4375,4,0.328125,0.109375
Dave Wannstedt,00-0005180,Jay Fiedler,3,0.5379704301075269,1,0.5161290322580645,0.021841397849462374
David Culley,00-0036898,Davis Mills,1,0.0625,1,0.03125,0.03125
Declan Doyle,00-0039918,Caleb Williams,1,0.78125,1,0.21875,0.5625
Dennis Allen,00-0021429,Carson Palmer,1,0.25,11,0.5710227272727273,-0.3210227272727273
Dennis Allen,00-0027973,Andy Dalton,1,0.375,11,0.4602272727272727,-0.08522727272727271
Dennis Allen,00-0031280,Derek Carr,2,0.3125,9,0.4722222222222222,-0.1597222222222222
Dennis Allen (fired on November 4),00-0031280,Derek Carr,1,0.25,10,0.4625,-0.21250000000000002
Dennis Erickson,00-0005755,Jeff Garcia,1,0.71875,6,0.6606182795698925,0.0581317204301075
Dennis Green,00-0017200,Kurt Warner,1,0.40625,6,0.6927083333333334,-0.28645833333333337
Dennis Green,00-0021206,Josh McCown,1,0.21875,4,0.21875,0.0
