coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Mike Holmgren,00-0007091,Matt Hasselbeck,2002,2007,4,1,0.2065794649881982,4,0.12589358663991412,4,-0.35607934629741433,-0.5626588112856126
Mike Munchak,00-0007091,Matt Hasselbeck,2011,2012,2,9,0.0607081385625771,1,-0.144107404692082,1,-0.5875,-0.6482081385625771
Pep Hamilton,00-0007091,Matt Hasselbeck,2013,2014,2,10,0.04022658423711119,0,,1,-0.5875,-0.6277265842371113
Bill Muir,00-0008442,Brad Johnson,2002,2004,3,2,0.0550336486357261,2,-0.08072999024878764,2,-0.28250603760565807,-0.3375396862413842
Clyde Christensen,00-0008442,Brad Johnson,2001,2001,1,1,0.016523492286115,1,0.0935438049853372,4,-0.18161801392722288,-0.19814150621333787
Jon Gruden,00-0008442,Brad Johnson,2002,2004,3,2,0.0550336486357261,2,-0.08072999024878764,2,-0.28250603760565807,-0.3375396862413842
Mike Tice,00-0008442,Brad Johnson,2005,2005,1,4,-0.012848170806530772,1,-0.1358137829912024,1,-0.4291982922201138,-0.416350121413583
Steve Loney,00-0008442,Brad Johnson,2005,2005,1,4,-0.012848170806530772,1,-0.1358137829912024,1,-0.4291982922201138,-0.416350121413583
Tony Dungy,00-0008442,Brad Johnson,2001,2001,1,1,0.016523492286115,1,0.0935438049853372,4,-0.18161801392722288,-0.19814150621333787
Bob Bratkowski,00-0009311,Jon Kitna,2001,2005,5,1,-0.076036866359447,3,-0.08367003337203922,3,-0.15324956554795263,-0.07721269918850564
Dick LeBeau,00-0009311,Jon Kitna,2001,2002,2,1,-0.076036866359447,2,-0.2627530339290266,4,-0.04631318222548059,0.029723684133966408
Jim Colletto,00-0009311,Jon Kitna,2008,2008,1,6,-0.14495531335470335,0,,1,0.0829362170087976,0.22789153036350096
Marvin Lewis,00-0009311,Jon Kitna,2003,2005,3,3,-0.2005143114058334,1,0.2744959677419355,3,-0.15324956554795263,0.04726474585788076
Mike Martz,00-0009311,Jon Kitna,2006,2007,2,4,-0.08176174161889116,2,-0.27134245682632774,1,0.0829362170087976,0.16469795862768877
Rod Marinelli,00-0009311,Jon Kitna,2006,2008,3,4,-0.08176174161889116,2,-0.27134245682632774,1,0.0829362170087976,0.16469795862768877
Adam Gase,00-0010346,Peyton Manning,2013,2014,2,12,0.3869353548635117,2,0.22082111436950141,1,-0.3526785714285714,-0.7396139262920831
Clyde Christensen,00-0010346,Peyton Manning,2010,2010,1,10,0.3935279955274337,1,0.3246425953079179,4,0.11806634127257937,-0.27546165425485436
Jim Caldwell,00-0010346,Peyton Manning,2009,2010,2,9,0.38315716032670794,2,0.4057540538209419,4,0.11806634127257937,-0.26509081905412857
Jim E. Mora,00-0010346,Peyton Manning,2001,2001,1,1,0.4646439811172305,1,0.2788018433179723,13,0.3068263147105669,-0.15781766640666356
John Fox,00-0010346,Peyton Manning,2012,2014,3,11,0.3872656864165686,3,0.27498131217296296,1,-0.3526785714285714,-0.7399442578451401
Mike McCoy,00-0010346,Peyton Manning,2012,2012,1,11,0.3872656864165686,1,0.3833017077798861,3,0.029654552436810477,-0.35761113397975813
Tom Moore,00-0010346,Peyton Manning,2001,2009,6,1,0.4646439811172305,6,0.36274404794661935,5,0.15938159207964708,-0.3052623890375834
Tony Dungy,00-0010346,Peyton Manning,2002,2008,4,2,0.3717229122176014,4,0.3526992330069445,6,0.21396224545536688,-0.15776066676223452
Andy Reid,00-0011022,Donovan McNabb,2001,2009,9,1,0.2205849039507067,9,0.1044833252012599,1,-0.2318844876660341,-0.4524693916167408
Brad Childress,00-0011022,Donovan McNabb,2002,2005,4,2,0.11680799092106531,4,0.0455064035423991,5,0.10268174941685693,-0.014126241504208381
Marty Mornhinweg,00-0011022,Donovan McNabb,2005,2009,5,5,0.15322912565395833,5,0.07895784049845085,1,-0.2318844876660341,-0.3851136133199924
