season,team,role,coach_name,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play,epa_rank,epa_per_play_pctile,ppg_rank,ppg_pctile,ypg_rank,yards_per_game_pctile
2008,HOU,OC,Kyle Shanahan,16,366.0,22.875,1031,37.96704274771104,0.0368254536835218,6127.0,16,382.9375,0.0368254536835218,12,0.65625,17,0.5,3,0.9375
2009,HOU,OC,Kyle Shanahan,16,388.0,24.25,1040,44.397028052372,0.0426894500503576,6149.0,16,384.3125,0.0426894500503576,11,0.6875,10,0.71875,4,0.90625
2010,WAS,OC,Kyle Shanahan,16,302.0,18.875,1035,-81.27908280400727,-0.0785305147864804,5386.0,16,336.625,-0.0785305147864804,25,0.25,25,0.25,18,0.46875
2011,WAS,OC,Kyle Shanahan,16,288.0,18.0,1065,-61.55123525515798,-0.057794587094045,5379.0,16,336.1875,-0.057794587094045,21,0.375,26,0.21875,16,0.53125
2012,WAS,OC,Kyle Shanahan,16,436.0,27.25,1021,140.32669318829488,0.137440443867086,6144.0,16,384.0,0.137440443867086,2,0.96875,4,0.90625,5,0.875
2013,WAS,OC,Kyle Shanahan,16,334.0,20.875,1140,-66.3259212515831,-0.0581806326768272,5922.0,16,370.125,-0.0581806326768272,23,0.3125,23,0.3125,9,0.75
2014,CLE,OC,Kyle Shanahan,16,299.0,18.6875,1047,-74.31504717042107,-0.0709790326365053,5199.0,16,324.9375,-0.0709790326365053,25,0.25,27,0.1875,23,0.3125
2015,ATL,OC,Kyle Shanahan,16,339.0,21.1875,1126,-0.7814391487858341,-0.0006939956916392,6002.0,16,375.125,-0.0006939956916392,16,0.53125,21,0.359375,7,0.8125
2016,ATL,OC,Kyle Shanahan,16,540.0,33.75,1028,196.9891068794868,0.1916236448244034,6670.0,16,416.875,0.1916236448244034,1,1.0,1,1.0,2,0.96875
2017,SF,HC,Kyle Shanahan,16,331.0,20.6875,1086,-45.51021318093365,-0.0419062736472685,5597.0,16,349.8125,-0.0419062736472685,16,0.53125,20,0.40625,12,0.65625
2018,SF,HC,Kyle Shanahan,16,342.0,21.375,1042,-21.931600000313125,-0.0210476007680548,5788.0,16,361.75,-0.0210476007680548,21,0.375,21,0.375,16,0.53125
2019,SF,HC,Kyle Shanahan,16,479.0,29.9375,1041,78.55210779723424,0.075458316808102,6120.0,16,382.5,0.075458316808102,5,0.875,2,0.96875,4,0.90625
2020,SF,HC,Kyle Shanahan,16,376.0,23.5,1086,8.698548865289512,0.0080097135039498,5933.0,16,370.8125,0.0080097135039498,21,0.375,21,0.375,15,0.5625
2021,SF,HC,Kyle Shanahan,17,427.0,25.11764705882353,1075,92.71616418712571,0.0862475945926751,6406.0,17,376.8235294117647,0.0862475945926751,6,0.84375,13,0.625,7,0.8125
2022,SF,HC,Kyle Shanahan,17,450.0,26.47058823529412,1082,90.81841374801186,0.0839356873826357,6234.0,17,366.7058823529412,0.0839356873826357,4,0.90625,6,0.84375,5,0.875
2023,SF,HC,Kyle Shanahan,17,491.0,28.88235294117647,1039,186.05224381141747,0.1790685695971294,6797.0,17,399.8235294117647,0.1790685695971294,1,1.0,3,0.9375,2,0.96875
2024,SF,HC,Kyle Shanahan,17,389.0,22.88235294117647,1065,65.21712866670777,0.0612367405321199,6405.0,17,376.7647058823529,0.0612367405321199,11,0.6875,13,0.609375,4,0.90625
2025,SF,HC,Kyle Shanahan,17,437.0,25.705882352941178,1100,98.86363756579,0.0898760341507181,5997.0,17,352.7647058823529,0.0898760341507181,6,0.84375,10,0.71875,7,0.796875
2017,LA,OC,Matt LaFleur,16,478.0,29.875,1015,54.607819097763965,0.0538008069928709,5807.0,16,362.9375,0.0538008069928709,6,0.84375,1,1.0,10,0.71875
2018,TEN,OC,Matt LaFleur,16,310.0,19.375,977,-28.86387466871236,-0.0295433722300024,5007.0,16,312.9375,-0.0295433722300024,24,0.28125,27,0.1875,25,0.25
2019,GB,HC,Matt LaFleur,16,376.0,23.5,1054,64.84401513253478,0.0615218359891221,5560.0,16,347.5,0.0615218359891221,7,0.8125,15,0.5625,17,0.5
2020,GB,HC,Matt LaFleur,16,509.0,31.8125,1014,225.0066577793584,0.2219000569816157,6245.0,16,390.3125,0.2219000569816157,1,1.0,1,1.0,5,0.875
2021,GB,HC,Matt LaFleur,17,450.0,26.47058823529412,1093,147.90081163665468,0.1353163875907179,6237.0,17,366.88235294117646,0.1353163875907179,3,0.9375,10,0.71875,10,0.71875
2022,GB,HC,Matt LaFleur,17,370.0,21.764705882352946,1077,19.65691605659918,0.0182515469420605,5766.0,17,339.1764705882353,0.0182515469420605,11,0.6875,14,0.59375,17,0.5
2023,GB,HC,Matt LaFleur,17,383.0,22.529411764705884,1080,79.77691084950774,0.0738675100458405,5891.0,17,346.52941176470586,0.0738675100458405,5,0.875,12,0.65625,11,0.6875
2024,GB,HC,Matt LaFleur,17,460.0,27.058823529411764,1071,86.10578662871902,0.080397559877422,6320.0,17,371.7647058823529,0.080397559877422,8,0.78125,8,0.78125,5,0.875
2025,GB,HC,Matt LaFleur,17,391.0,23.0,1030,127.84077955030922,0.1241172616993293,5675.0,17,333.8235294117647,0.1241172616993293,4,0.90625,16,0.53125,15,0.5625
2014,WAS,OC,Sean McVay,16,301.0,18.8125,1049,-55.60575251905249,-0.0530083436787916,5744.0,16,359.0,-0.0530083436787916,24,0.28125,26,0.21875,13,0.625
2015,WAS,OC,Sean McVay,16,388.0,24.25,1051,23.97858186370372,0.0228150160453888,5677.0,16,354.8125,0.0228150160453888,12,0.65625,10,0.71875,17,0.5
2016,WAS,OC,Sean McVay,16,396.0,24.75,1045,119.53143901026334,0.1143841521629314,6467.0,16,404.1875,0.1143841521629314,5,0.875,12,0.65625,3,0.9375
2017,LA,HC,Sean McVay,16,478.0,29.875,1015,54.607819097763965,0.0538008069928709,5807.0,16,362.9375,0.0538008069928709,6,0.84375,1,1.0,10,0.71875
2018,LA,HC,Sean McVay,16,527.0,32.9375,1081,163.61644617031885,0.1513565644498787,6775.0,16,423.4375,0.1513565644498787,3,0.9375,2,0.96875,2,0.96875
2019,LA,HC,Sean McVay,16,394.0,24.625,1098,-0.2375813602636398,-0.0002163764665424,6013.0,16,375.8125,-0.0002163764665424,19,0.4375,11,0.6875,7,0.8125
2020,LA,HC,Sean McVay,16,372.0,23.25,1100,-13.603080104405509,-0.0123664364585504,6051.0,16,378.1875,-0.0123664364585504,23,0.3125,22,0.328125,11,0.6875
2021,LA,HC,Sean McVay,17,460.0,27.058823529411764,1075,89.13085702946904,0.0829124251436921,6348.0,17,373.4117647058824,0.0829124251436921,8,0.78125,7,0.796875,9,0.75
2022,LA,HC,Sean McVay,17,307.0,18.058823529411764,1012,-83.83522640661228,-0.0828411328128579,4784.0,17,281.4117647058824,-0.0828411328128579,29,0.125,27,0.1875,32,0.03125
2023,LA,HC,Sean McVay,17,404.0,23.764705882352946,1138,49.86916419335115,0.0438217611540871,6127.0,17,360.4117647058824,0.0438217611540871,9,0.75,8,0.78125,7,0.8125
2024,LA,HC,Sean McVay,17,367.0,21.58823529411765,1074,36.40288544442756,0.0338946791847556,5651.0,17,332.4117647058824,0.0338946791847556,15,0.5625,20,0.40625,15,0.5625
2025,LA,HC,Sean McVay,17,518.0,30.47058823529412,1105,164.76155415640974,0.1491054788745789,6740.0,17,396.4705882352941,0.1491054788745789,2,0.96875,1,1.0,1,1.0
2001,NYG,OC,Sean Payton,16,294.0,18.375,1065,-49.31834454964682,-0.0463083047414524,5339.0,16,333.6875,-0.0463083047414524,18,0.4516129032258064,21,0.3387096774193548,9,0.7419354838709677
2002,NYG,OC,Sean Payton,16,320.0,20.0,1124,7.89297325449083,0.0070222181979455,5825.0,16,364.0625,0.0070222181979455,17,0.5,22,0.34375,6,0.84375
2006,NO,HC,Sean Payton,16,413.0,25.8125,1082,80.33699076589744,0.0742486051440826,6299.0,16,393.6875,0.0742486051440826,3,0.9375,5,0.875,1,1.0
2007,NO,HC,Sean Payton,16,379.0,23.6875,1089,15.112273835485311,0.0138772027874061,5808.0,16,363.0,0.0138772027874061,9,0.75,12,0.640625,4,0.90625
2008,NO,HC,Sean Payton,16,463.0,28.9375,1064,124.0326007344904,0.1165719931715135,6580.0,16,411.25,0.1165719931715135,2,0.96875,1,1.0,1,1.0
2009,NO,HC,Sean Payton,16,510.0,31.875,1052,123.1560544655617,0.1170684928379864,6476.0,16,404.75,0.1170684928379864,5,0.875,1,1.0,1,1.0
2010,NO,HC,Sean Payton,16,384.0,24.0,1088,42.570766571188464,0.0391275428044011,5972.0,16,373.25,0.0391275428044011,9,0.75,11,0.6875,6,0.84375
2011,NO,HC,Sean Payton,16,547.0,34.1875,1150,228.33145439727565,0.1985490907802397,7557.0,16,472.3125,0.1985490907802397,2,0.96875,2,0.96875,1,1.0
2013,NO,HC,Sean Payton,16,414.0,25.875,1103,125.31604396461827,0.1136138204574961,6414.0,16,400.875,0.1136138204574961,3,0.9375,10,0.71875,4,0.90625
2014,NO,HC,Sean Payton,16,401.0,25.0625,1125,74.68370362708659,0.066385514335188,6591.0,16,411.9375,0.066385514335188,8,0.78125,9,0.75,2,0.96875
2015,NO,HC,Sean Payton,16,408.0,25.5,1138,88.90615703442926,0.0781249183079343,6479.0,16,404.9375,0.0781249183079343,5,0.875,8,0.78125,2,0.96875
2016,NO,HC,Sean Payton,16,469.0,29.3125,1133,112.26136068838989,0.0990832839262046,6832.0,16,427.0,0.0990832839262046,6,0.84375,2,0.96875,1,1.0
2017,NO,HC,Sean Payton,16,448.0,28.0,1015,94.1623438206007,0.0927707820892617,6283.0,16,392.6875,0.0927707820892617,2,0.96875,4,0.90625,2,0.96875
2018,NO,HC,Sean Payton,16,504.0,31.5,1028,159.6590151465392,0.1553103260180342,6100.0,16,381.25,0.1553103260180342,2,0.96875,3,0.9375,8,0.78125
2019,NO,HC,Sean Payton,16,458.0,28.625,1041,84.0721740594823,0.0807609741205401,6002.0,16,375.125,0.0807609741205401,4,0.90625,3,0.921875,9,0.75
2020,NO,HC,Sean Payton,16,482.0,30.125,1055,100.1353550640576,0.094915028496737,6044.0,16,377.75,0.094915028496737,8,0.78125,5,0.875,12,0.65625
2021,NO,HC,Sean Payton,17,364.0,21.41176470588235,1075,-71.90534301945407,-0.0668886911808875,5192.0,17,305.4117647058824,-0.0668886911808875,25,0.25,19,0.4375,28,0.15625
2023,DEN,HC,Sean Payton,17,357.0,21.0,1052,-46.298247553270855,-0.0440097410202194,5101.0,17,300.05882352941177,-0.0440097410202194,20,0.40625,19,0.4375,26,0.21875
2024,DEN,HC,Sean Payton,17,425.0,25.0,1083,10.46747300119752,0.0096652566954732,5539.0,17,325.8235294117647,0.0096652566954732,16,0.53125,10,0.71875,20,0.40625
2025,DEN,HC,Sean Payton,17,401.0,23.58823529411765,1122,41.92428175250369,0.0373656700111441,5851.0,17,344.1764705882353,0.0373656700111441,13,0.625,14,0.59375,10,0.71875
