coach,qb_id,qb_name,n_seasons_with_coach,avg_pctile_with_coach,n_seasons_elsewhere,avg_pctile_elsewhere,delta
Todd Haley,00-0017200,Kurt Warner,1,0.6875,4,0.59375,0.09375
Brian Schottenheimer,00-0019559,Chad Pennington,2,0.453125,4,0.75,-0.296875
Dan Henning,00-0019559,Chad Pennington,1,0.8125,5,0.61875,0.19374999999999998
Herman Edwards,00-0019559,Chad Pennington,3,0.7291666666666666,3,0.5729166666666666,0.15625
Bill Belichick,00-0019596,Tom Brady,18,0.8327732974910395,3,0.7604166666666666,0.07235663082437283
Bruce Arians,00-0019596,Tom Brady,2,0.9375,19,0.8103247028862479,0.12717529711375208
Byron Leftwich,00-0019596,Tom Brady,1,0.40625,20,0.8432459677419356,-0.4369959677419356
Greg Olson,00-0019599,Marc Bulger,2,0.4375,1,0.03125,0.40625
Pat Shurmur,00-0019599,Marc Bulger,1,0.03125,2,0.4375,-0.40625
Andy Reid,00-0020245,Michael Vick,3,0.625,3,0.4791666666666667,0.14583333333333331
Greg Knapp,00-0020245,Michael Vick,3,0.4791666666666667,3,0.625,-0.14583333333333331
Aaron Kromer,00-0020531,Drew Brees,1,0.8125,18,0.8489583333333334,-0.03645833333333337
Cam Cameron,00-0020531,Drew Brees,4,0.7421875,15,0.875,-0.1328125
Doug Marrone,00-0020531,Drew Brees,3,0.8854166666666666,16,0.83984375,0.04557291666666663
Pete Carmichael,00-0020531,Drew Brees,6,0.890625,13,0.8269230769230769,0.06370192307692313
Pete Carmichael Jr.,00-0020531,Drew Brees,1,0.75,18,0.8524305555555556,-0.10243055555555558
"Pete Carmichael, Jr.",00-0020531,Drew Brees,4,0.890625,15,0.8354166666666667,0.055208333333333304
Bruce Coslet,00-0020562,Chad Hutchinson,1,0.09375,1,0.03125,0.0625
Lovie Smith,00-0020562,Chad Hutchinson,1,0.03125,1,0.09375,-0.0625
Chris Palmer,00-0020608,David Carr,4,0.2890625,1,0.40625,-0.1171875
Gary Kubiak,00-0020608,David Carr,1,0.40625,4,0.2890625,0.1171875
Brian Schottenheimer,00-0020679,Shaun Hill,1,0.125,2,0.3125,-0.1875
Jim Schwartz,00-0020679,Shaun Hill,1,0.375,2,0.1875,0.1875
Mike Martz,00-0020679,Shaun Hill,1,0.25,2,0.25,0.0
Bobby Petrino,00-0021141,Joey Harrington,1,0.0625,5,0.19375,-0.13125
Dick Jauron,00-0021141,Joey Harrington,1,0.25,5,0.15625,0.09375
Marty Mornhinweg,00-0021141,Joey Harrington,1,0.15625,5,0.175,-0.01874999999999999
Mike Mularkey,00-0021141,Joey Harrington,1,0.1875,5,0.16875,0.01874999999999999
Sherman Lewis,00-0021141,Joey Harrington,2,0.1875,4,0.1640625,0.0234375
Alex Wood,00-0021206,Josh McCown,1,0.21875,4,0.21875,0.0
Greg Knapp,00-0021206,Josh McCown,1,0.25,4,0.2109375,0.0390625
Jeff Tedford,00-0021206,Josh McCown,1,0.15625,4,0.234375,-0.078125
John DeFilippo,00-0021206,Josh McCown,1,0.1875,4,0.2265625,-0.0390625
John Morton,00-0021206,Josh McCown,1,0.28125,4,0.203125,0.078125
Carl Smith,00-0021231,David Garrard,1,0.75,3,0.7083333333333334,0.04166666666666663
Dirk Koetter,00-0021231,David Garrard,3,0.7083333333333334,1,0.75,-0.04166666666666663
Al Saunders,00-0021429,Carson Palmer,1,0.59375,11,0.5397727272727273,0.05397727272727271
Bob Bratkowski,00-0021429,Carson Palmer,6,0.6302083333333334,6,0.4583333333333333,0.17187500000000006
Bruce Arians,00-0021429,Carson Palmer,4,0.4765625,8,0.578125,-0.1015625
Dennis Allen,00-0021429,Carson Palmer,1,0.25,11,0.5710227272727273,-0.3210227272727273
Bill Callahan,00-0021678,Tony Romo,2,0.71875,4,0.859375,-0.140625
Bill Parcells,00-0021678,Tony Romo,1,0.90625,5,0.79375,0.11250000000000004
Jason Garrett,00-0021678,Tony Romo,3,0.84375,3,0.78125,0.0625
Kyle Shanahan,00-0022121,Rex Grossman,1,0.375,2,0.328125,0.046875
Lovie Smith,00-0022121,Rex Grossman,2,0.328125,1,0.375,-0.046875
Bill Musgrave,00-0022177,Byron Leftwich,2,0.5,1,0.71875,-0.21875
Carl Smith,00-0022177,Byron Leftwich,1,0.71875,2,0.5,0.21875
Ben McAdoo,00-0022803,Eli Manning,4,0.390625,9,0.59375,-0.203125
John Hufnagel,00-0022803,Eli Manning,1,0.59375,12,0.5260416666666666,0.06770833333333337
Kevin Gilbride,00-0022803,Eli Manning,7,0.6071428571428571,6,0.4427083333333333,0.16443452380952378
Mike Shula,00-0022803,Eli Manning,1,0.5,12,0.5338541666666666,-0.03385416666666663
Bill Cowher,00-0022924,Ben Roethlisberger,3,0.75,14,0.6919642857142857,0.0580357142857143
Bruce Arians,00-0022924,Ben Roethlisberger,5,0.7,12,0.703125,-0.0031250000000000444
Matt Canada,00-0022924,Ben Roethlisberger,1,0.3125,16,0.7265625,-0.4140625
Mike Tomlin,00-0022924,Ben Roethlisberger,8,0.734375,9,0.6736111111111112,0.06076388888888884
Anthony Lynn,00-0022942,Philip Rivers,3,0.8541666666666666,12,0.7473958333333334,0.10677083333333326
Cam Cameron,00-0022942,Philip Rivers,1,0.96875,14,0.7544642857142857,0.2142857142857143
Clarence Shelmon,00-0022942,Philip Rivers,5,0.875,10,0.715625,0.15937500000000004
Frank Reich,00-0022942,Philip Rivers,3,0.6041666666666666,12,0.8098958333333334,-0.20572916666666674
Hal Hunter,00-0022942,Philip Rivers,1,0.3125,14,0.8013392857142857,-0.4888392857142857
Ken Whisenhunt,00-0022942,Philip Rivers,2,0.75,13,0.7716346153846154,-0.02163461538461542
Andy Reid,00-0023436,Alex Smith,5,0.7125,9,0.3020833333333333,0.4104166666666667
Greg Roman,00-0023436,Alex Smith,2,0.703125,12,0.40625,0.296875
Jay Gruden,00-0023436,Alex Smith,1,0.21875,13,0.46634615384615385,-0.24759615384615385
Jim Hostler,00-0023436,Alex Smith,1,0.03125,13,0.4807692307692308,-0.4495192307692308
