season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play
2000,ARI,16,210.0,13.125,973,-126.77205249617856,-0.1302898792355381,4528.0,16,283.0,-0.1302898792355381
2000,ATL,16,252.0,15.75,981,-189.15964562674287,-0.1928232881006553,3998.0,16,249.875,-0.1928232881006553
2000,BAL,16,333.0,20.8125,1105,-60.32244333612793,-0.0545904464580343,5018.0,16,313.625,-0.0545904464580343
2000,BUF,16,315.0,19.6875,1071,-64.18468329118407,-0.0599296762756153,5246.0,15,327.875,-0.0599296762756153
2000,CAR,16,310.0,19.375,1041,-58.84628437851957,-0.0565286113146201,4663.0,16,291.4375,-0.0565286113146201
2000,CHI,16,216.0,13.5,1021,-148.31372770411986,-0.145263200493751,4541.0,16,283.8125,-0.145263200493751
2000,CIN,16,185.0,11.5625,1045,-163.55120438335155,-0.1565083295534464,4247.0,16,265.4375,-0.1565083295534464
2000,CLE,16,161.0,10.0625,892,-193.9650052569609,-0.2174495574629606,3530.0,16,220.625,-0.2174495574629606
2000,DAL,16,294.0,18.375,1003,-73.51167500021062,-0.0732917996014064,4479.0,16,279.9375,-0.0732917996014064
2000,DEN,16,485.0,30.3125,1171,100.00068862989691,0.0853976845686566,6571.0,16,410.6875,0.0853976845686566
2000,DET,16,307.0,19.1875,1044,-145.4896721197194,-0.1393579234863212,4430.0,16,276.875,-0.1393579234863212
2000,GB,16,353.0,22.0625,1089,-9.191329471635498,-0.0084401556213365,5325.0,16,332.8125,-0.0084401556213365
2000,IND,16,429.0,26.8125,1077,132.51387313510517,0.1230398079248887,6145.0,16,384.0625,0.1230398079248887
2000,JAX,16,367.0,22.9375,1113,11.253630251488364,0.0101110783930713,5692.0,16,355.75,0.0101110783930713
2000,KC,16,355.0,22.1875,970,20.442792796620484,0.0210750441202273,5265.0,15,329.0625,0.0210750441202273
2000,LA,16,540.0,33.75,1059,171.3795979986155,0.1618315372980316,7083.0,16,442.6875,0.1618315372980316
2000,LAC,16,269.0,16.8125,969,-164.04600569453686,-0.1692941235237738,4113.0,15,257.0625,-0.1692941235237738
2000,LV,16,479.0,29.9375,1068,101.07637550031907,0.0946408010302613,5779.0,16,361.1875,0.0946408010302613
2000,MIA,16,323.0,20.1875,915,-30.391801135838797,-0.0332150832085669,4207.0,15,262.9375,-0.0332150832085669
2000,MIN,16,397.0,24.8125,999,104.0887051343298,0.1041928980323621,5965.0,16,372.8125,0.1041928980323621
2000,NE,16,276.0,17.25,1088,-86.3694354221382,-0.0793836722629946,4573.0,16,285.8125,-0.0793836722629946
2000,NO,16,354.0,22.125,1082,7.34653727335576,0.0067897756685358,5404.0,16,337.75,0.0067897756685358
2000,NYG,16,328.0,20.5,1096,15.004723700829077,0.0136904413328732,5376.0,16,336.0,0.0136904413328732
2000,NYJ,16,321.0,20.0625,1122,-81.1073049906344,-0.0722881506155386,5403.0,16,337.6875,-0.0722881506155386
2000,PHI,16,351.0,21.9375,1062,-2.8914744917271724,-0.0027226690129257,5015.0,16,313.4375,-0.0027226690129257
2000,PIT,16,321.0,20.0625,1064,-50.52682133090984,-0.04748761403281,4768.0,16,298.0,-0.04748761403281
