season,team,games,total_points,ppg
2024,KC,17,385.0,22.647058823529413
2024,LA,17,367.0,21.58823529411765
2024,LAC,17,402.0,23.647058823529413
2024,LV,17,309.0,18.176470588235293
2024,MIA,17,345.0,20.294117647058822
2024,MIN,17,432.0,25.41176470588235
2024,NE,17,289.0,17.0
2024,NO,17,338.0,19.88235294117647
2024,NYG,17,273.0,16.058823529411764
2024,NYJ,17,338.0,19.88235294117647
2024,PHI,17,463.0,27.235294117647054
2024,PIT,17,380.0,22.352941176470587
2024,SEA,17,375.0,22.058823529411764
2024,SF,17,389.0,22.88235294117647
2024,TB,17,502.0,29.529411764705884
2024,TEN,17,311.0,18.294117647058822
2024,WAS,17,485.0,28.529411764705884
2025,ARI,17,355.0,20.88235294117647
2025,ATL,17,353.0,20.764705882352946
2025,BAL,17,424.0,24.94117647058824
2025,BUF,17,481.0,28.294117647058822
2025,CAR,17,311.0,18.294117647058822
2025,CHI,17,441.0,25.94117647058824
2025,CIN,17,414.0,24.352941176470587
2025,CLE,17,279.0,16.41176470588235
2025,DAL,17,471.0,27.705882352941178
2025,DEN,17,401.0,23.58823529411765
2025,DET,17,481.0,28.294117647058822
2025,GB,17,391.0,23.0
2025,HOU,17,404.0,23.764705882352946
2025,IND,17,466.0,27.41176470588235
2025,JAX,17,474.0,27.88235294117647
2025,KC,17,362.0,21.294117647058822
2025,LA,17,518.0,30.47058823529412
2025,LAC,17,368.0,21.647058823529413
2025,LV,17,241.0,14.176470588235292
2025,MIA,17,347.0,20.41176470588235
2025,MIN,17,344.0,20.235294117647054
2025,NE,17,490.0,28.823529411764707
2025,NO,17,306.0,18.0
2025,NYG,17,381.0,22.41176470588235
2025,NYJ,17,300.0,17.647058823529413
2025,PHI,17,379.0,22.294117647058822
2025,PIT,17,397.0,23.352941176470587
2025,SEA,17,483.0,28.41176470588235
2025,SF,17,437.0,25.705882352941178
2025,TB,17,380.0,22.352941176470587
2025,TEN,17,284.0,16.705882352941178
2025,WAS,17,356.0,20.94117647058824
