season,team,games,total_points,ppg
2005,SEA,16,452.0,28.25
2005,SF,16,239.0,14.9375
2005,LA,16,363.0,22.6875
2005,TB,16,300.0,18.75
2005,TEN,16,299.0,18.6875
2005,WAS,16,359.0,22.4375
2006,ARI,16,314.0,19.625
2006,ATL,16,292.0,18.25
2006,BAL,16,353.0,22.0625
2006,BUF,16,300.0,18.75
2006,CAR,16,270.0,16.875
2006,CHI,16,427.0,26.6875
2006,CIN,16,373.0,23.3125
2006,CLE,16,238.0,14.875
2006,DAL,16,425.0,26.5625
2006,DEN,16,319.0,19.9375
2006,DET,16,305.0,19.0625
2006,GB,16,301.0,18.8125
2006,HOU,16,267.0,16.6875
2006,IND,16,427.0,26.6875
2006,JAX,16,371.0,23.1875
2006,KC,16,331.0,20.6875
2006,MIA,16,260.0,16.25
2006,MIN,16,282.0,17.625
2006,NE,16,385.0,24.0625
2006,NO,16,413.0,25.8125
2006,NYG,16,355.0,22.1875
2006,NYJ,16,316.0,19.75
2006,LV,16,168.0,10.5
2006,PHI,16,398.0,24.875
2006,PIT,16,353.0,22.0625
2006,LAC,16,492.0,30.75
2006,SEA,16,335.0,20.9375
2006,SF,16,298.0,18.625
2006,LA,16,367.0,22.9375
2006,TB,16,211.0,13.1875
2006,TEN,16,324.0,20.25
2006,WAS,16,307.0,19.1875
2007,ARI,16,404.0,25.25
2007,ATL,16,259.0,16.1875
2007,BAL,16,275.0,17.1875
2007,BUF,16,252.0,15.75
2007,CAR,16,267.0,16.6875
2007,CHI,16,334.0,20.875
2007,CIN,16,380.0,23.75
2007,CLE,16,402.0,25.125
2007,DAL,16,455.0,28.4375
2007,DEN,16,320.0,20.0
2007,DET,16,346.0,21.625
2007,GB,16,435.0,27.1875
2007,HOU,16,379.0,23.6875
2007,IND,16,450.0,28.125
2007,JAX,16,411.0,25.6875
2007,KC,16,226.0,14.125
2007,MIA,16,267.0,16.6875
2007,MIN,16,365.0,22.8125
2007,NE,16,589.0,36.8125
2007,NO,16,379.0,23.6875
2007,NYG,16,373.0,23.3125
2007,NYJ,16,268.0,16.75
2007,LV,16,283.0,17.6875
2007,PHI,16,336.0,21.0
2007,PIT,16,393.0,24.5625
2007,LAC,16,412.0,25.75
2007,SEA,16,393.0,24.5625
2007,SF,16,219.0,13.6875
2007,LA,16,263.0,16.4375
2007,TB,16,334.0,20.875
2007,TEN,16,301.0,18.8125
2007,WAS,16,334.0,20.875
2008,ARI,16,427.0,26.6875
2008,ATL,16,391.0,24.4375
2008,BAL,16,385.0,24.0625
2008,BUF,16,336.0,21.0
2008,CAR,16,414.0,25.875
2008,CHI,16,375.0,23.4375
2008,CIN,16,204.0,12.75
2008,CLE,16,232.0,14.5
2008,DAL,16,362.0,22.625
2008,DEN,16,370.0,23.125
2008,DET,16,268.0,16.75
2008,GB,16,419.0,26.1875
2008,HOU,16,366.0,22.875
2008,IND,16,377.0,23.5625
2008,JAX,16,302.0,18.875
2008,KC,16,291.0,18.1875
2008,MIA,16,345.0,21.5625
2008,MIN,16,379.0,23.6875
2008,NE,16,410.0,25.625
2008,NO,16,463.0,28.9375
2008,NYG,16,427.0,26.6875
2008,NYJ,16,405.0,25.3125
2008,LV,16,263.0,16.4375
2008,PHI,16,416.0,26.0
2008,PIT,16,347.0,21.6875
2008,LAC,16,439.0,27.4375
2008,SEA,16,294.0,18.375
2008,SF,16,339.0,21.1875
2008,LA,16,232.0,14.5
2008,TB,16,361.0,22.5625
2008,TEN,16,375.0,23.4375
2008,WAS,16,265.0,16.5625
2009,ARI,16,375.0,23.4375
2009,ATL,16,363.0,22.6875
2009,BAL,16,391.0,24.4375
2009,BUF,16,258.0,16.125
2009,CAR,16,315.0,19.6875
2009,CHI,16,327.0,20.4375
2009,CIN,16,305.0,19.0625
2009,CLE,16,245.0,15.3125
2009,DAL,16,361.0,22.5625
2009,DEN,16,326.0,20.375
2009,DET,16,262.0,16.375
2009,GB,16,461.0,28.8125
2009,HOU,16,388.0,24.25
2009,IND,16,416.0,26.0
2009,JAX,16,290.0,18.125
2009,KC,16,294.0,18.375
2009,MIA,16,360.0,22.5
2009,MIN,16,470.0,29.375
2009,NE,16,427.0,26.6875
2009,NO,16,510.0,31.875
2009,NYG,16,402.0,25.125
2009,NYJ,16,348.0,21.75
2009,LV,16,197.0,12.3125
2009,PHI,16,429.0,26.8125
2009,PIT,16,368.0,23.0
2009,LAC,16,454.0,28.375
2009,SEA,16,280.0,17.5
2009,SF,16,330.0,20.625
2009,LA,16,175.0,10.9375
2009,TB,16,244.0,15.25
2009,TEN,16,354.0,22.125
2009,WAS,16,266.0,16.625
2010,ARI,16,289.0,18.0625
2010,ATL,16,414.0,25.875
2010,BAL,16,357.0,22.3125
2010,BUF,16,283.0,17.6875
2010,CAR,16,196.0,12.25
2010,CHI,16,334.0,20.875
2010,CIN,16,322.0,20.125
2010,CLE,16,271.0,16.9375
2010,DAL,16,394.0,24.625
2010,DEN,16,344.0,21.5
2010,DET,16,362.0,22.625
2010,GB,16,388.0,24.25
2010,HOU,16,390.0,24.375
2010,IND,16,435.0,27.1875
2010,JAX,16,353.0,22.0625
2010,KC,16,366.0,22.875
2010,MIA,16,273.0,17.0625
2010,MIN,16,281.0,17.5625
2010,NE,16,518.0,32.375
2010,NO,16,384.0,24.0
2010,NYG,16,394.0,24.625
2010,NYJ,16,367.0,22.9375
2010,LV,16,410.0,25.625
2010,PHI,16,439.0,27.4375
2010,PIT,16,375.0,23.4375
2010,LAC,16,441.0,27.5625
2010,SEA,16,310.0,19.375
2010,SF,16,305.0,19.0625
2010,LA,16,289.0,18.0625
2010,TB,16,341.0,21.3125
2010,TEN,16,356.0,22.25
2010,WAS,16,302.0,18.875
2011,ARI,16,312.0,19.5
2011,ATL,16,402.0,25.125
2011,BAL,16,378.0,23.625
2011,BUF,16,372.0,23.25
2011,CAR,16,406.0,25.375
2011,CHI,16,353.0,22.0625
2011,CIN,16,344.0,21.5
2011,CLE,16,218.0,13.625
2011,DAL,16,369.0,23.0625
2011,DEN,16,309.0,19.3125
2011,DET,16,474.0,29.625
2011,GB,16,560.0,35.0
2011,HOU,16,381.0,23.8125
2011,IND,16,243.0,15.1875
2011,JAX,16,243.0,15.1875
2011,KC,16,212.0,13.25
2011,MIA,16,329.0,20.5625
2011,MIN,16,340.0,21.25
2011,NE,16,513.0,32.0625
2011,NO,16,547.0,34.1875
2011,NYG,16,394.0,24.625
2011,NYJ,16,377.0,23.5625
2011,LV,16,359.0,22.4375
2011,PHI,16,396.0,24.75
2011,PIT,16,325.0,20.3125
2011,LAC,16,406.0,25.375
2011,SEA,16,321.0,20.0625
2011,SF,16,380.0,23.75
2011,LA,16,193.0,12.0625
2011,TB,16,287.0,17.9375
2011,TEN,16,325.0,20.3125
2011,WAS,16,288.0,18.0
2012,ARI,16,250.0,15.625
2012,ATL,16,419.0,26.1875
2012,BAL,16,398.0,24.875
2012,BUF,16,344.0,21.5
2012,CAR,16,357.0,22.3125
2012,CHI,16,375.0,23.4375
2012,CIN,16,391.0,24.4375
2012,CLE,16,302.0,18.875
2012,DAL,16,376.0,23.5
2012,DEN,16,481.0,30.0625
2012,DET,16,372.0,23.25
2012,GB,16,433.0,27.0625
2012,HOU,16,416.0,26.0
2012,IND,16,357.0,22.3125
2012,JAX,16,255.0,15.9375
2012,KC,16,211.0,13.1875
2012,MIA,16,288.0,18.0
2012,MIN,16,379.0,23.6875
2012,NE,16,557.0,34.8125
2012,NO,16,461.0,28.8125
2012,NYG,16,429.0,26.8125
2012,NYJ,16,281.0,17.5625
2012,LV,16,290.0,18.125
2012,PHI,16,280.0,17.5
2012,PIT,16,336.0,21.0
2012,LAC,16,350.0,21.875
2012,SEA,16,412.0,25.75
2012,SF,16,397.0,24.8125
2012,LA,16,299.0,18.6875
2012,TB,16,389.0,24.3125
2012,TEN,16,330.0,20.625
2012,WAS,16,436.0,27.25
2013,ARI,16,379.0,23.6875
2013,ATL,16,353.0,22.0625
2013,BAL,16,320.0,20.0
2013,BUF,16,339.0,21.1875
2013,CAR,16,366.0,22.875
2013,CHI,16,445.0,27.8125
2013,CIN,16,430.0,26.875
2013,CLE,16,308.0,19.25
2013,DAL,16,439.0,27.4375
2013,DEN,16,606.0,37.875
2013,DET,16,395.0,24.6875
2013,GB,16,417.0,26.0625
2013,HOU,16,276.0,17.25
2013,IND,16,391.0,24.4375
2013,JAX,16,247.0,15.4375
2013,KC,16,430.0,26.875
2013,MIA,16,317.0,19.8125
2013,MIN,16,391.0,24.4375
2013,NE,16,444.0,27.75
2013,NO,16,414.0,25.875
2013,NYG,16,294.0,18.375
2013,NYJ,16,290.0,18.125
2013,LV,16,322.0,20.125
2013,PHI,16,442.0,27.625
2013,PIT,16,379.0,23.6875
2013,LAC,16,396.0,24.75
2013,SEA,16,417.0,26.0625
2013,SF,16,406.0,25.375
2013,LA,16,348.0,21.75
2013,TB,16,288.0,18.0
2013,TEN,16,362.0,22.625
2013,WAS,16,334.0,20.875
2014,ARI,16,310.0,19.375
2014,ATL,16,381.0,23.8125
2014,BAL,16,409.0,25.5625
2014,BUF,16,343.0,21.4375
2014,CAR,16,339.0,21.1875
2014,CHI,16,319.0,19.9375
2014,CIN,16,365.0,22.8125
2014,CLE,16,299.0,18.6875
2014,DAL,16,467.0,29.1875
2014,DEN,16,482.0,30.125
2014,DET,16,321.0,20.0625
2014,GB,16,486.0,30.375
2014,HOU,16,372.0,23.25
2014,IND,16,458.0,28.625
2014,JAX,16,249.0,15.5625
2014,KC,16,353.0,22.0625
2014,MIA,16,388.0,24.25
2014,MIN,16,325.0,20.3125
2014,NE,16,468.0,29.25
2014,NO,16,401.0,25.0625
2014,NYG,16,380.0,23.75
2014,NYJ,16,283.0,17.6875
2014,LV,16,253.0,15.8125
2014,PHI,16,474.0,29.625
2014,PIT,16,436.0,27.25
2014,LAC,16,348.0,21.75
2014,SEA,16,394.0,24.625
2014,SF,16,306.0,19.125
2014,LA,16,324.0,20.25
2014,TB,16,277.0,17.3125
2014,TEN,16,254.0,15.875
2014,WAS,16,301.0,18.8125
2015,ARI,16,489.0,30.5625
2015,ATL,16,339.0,21.1875
2015,BAL,16,328.0,20.5
2015,BUF,16,379.0,23.6875
2015,CAR,16,500.0,31.25
2015,CHI,16,335.0,20.9375
2015,CIN,16,419.0,26.1875
2015,CLE,16,278.0,17.375
2015,DAL,16,275.0,17.1875
2015,DEN,16,355.0,22.1875
2015,DET,16,358.0,22.375
2015,GB,16,368.0,23.0
2015,HOU,16,339.0,21.1875
2015,IND,16,333.0,20.8125
2015,JAX,16,376.0,23.5
2015,KC,16,405.0,25.3125
2015,MIA,16,310.0,19.375
2015,MIN,16,365.0,22.8125
2015,NE,16,465.0,29.0625
2015,NO,16,408.0,25.5
2015,NYG,16,420.0,26.25
2015,NYJ,16,387.0,24.1875
2015,LV,16,359.0,22.4375
2015,PHI,16,377.0,23.5625
2015,PIT,16,423.0,26.4375
2015,LAC,16,320.0,20.0
2015,SEA,16,423.0,26.4375
2015,SF,16,238.0,14.875
2015,LA,16,280.0,17.5
2015,TB,16,342.0,21.375
2015,TEN,16,299.0,18.6875
2015,WAS,16,388.0,24.25
2016,ARI,16,418.0,26.125
2016,ATL,16,540.0,33.75
2016,BAL,16,343.0,21.4375
2016,BUF,16,399.0,24.9375
2016,CAR,16,369.0,23.0625
2016,CHI,16,279.0,17.4375
2016,CIN,16,325.0,20.3125
2016,CLE,16,264.0,16.5
2016,DAL,16,421.0,26.3125
2016,DEN,16,333.0,20.8125
2016,DET,16,346.0,21.625
2016,GB,16,432.0,27.0
2016,HOU,16,279.0,17.4375
2016,IND,16,411.0,25.6875
2016,JAX,16,318.0,19.875
2016,KC,16,389.0,24.3125
2016,LA,16,224.0,14.0
2016,MIA,16,363.0,22.6875
2016,MIN,16,327.0,20.4375
2016,NE,16,441.0,27.5625
2016,NO,16,469.0,29.3125
2016,NYG,16,310.0,19.375
2016,NYJ,16,275.0,17.1875
2016,LV,16,416.0,26.0
2016,PHI,16,367.0,22.9375
2016,PIT,16,399.0,24.9375
2016,LAC,16,410.0,25.625
2016,SEA,16,354.0,22.125
2016,SF,16,309.0,19.3125
2016,TB,16,354.0,22.125
