coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,league_baseline_tier_score,overperformance,p_value
Ken Zampese,QB,Day1,6,0.667,1.321,-0.655,0.10675555914941563
Curtis Modkins,RB,Day3+UDFA,21,0.667,0.315,0.352,0.1105088537003163
Clancy Barone,TE,Day3+UDFA,14,0.917,0.281,0.635,0.11077911631935529
Karl Dorrell,WR,Day3+UDFA,24,0.556,0.234,0.322,0.11344287214319121
George Stewart,WR,Day1,7,0.529,1.299,-0.771,0.1147091760734146
Keary Colbert,WR,Day3+UDFA,6,0.083,0.234,-0.151,0.13065601985658531
Steve Walters,WR,Day3+UDFA,5,1.2,0.234,0.966,0.13378071602729774
Sanjay Lal,WR,Day1,11,0.833,1.299,-0.466,0.1354861444609581
Nolan Cromwell,WR,Day3+UDFA,11,0.652,0.234,0.418,0.13744333040868595
Ron Middleton,TE,Day2,5,0.4,0.837,-0.437,0.1492772848662349
Sherman Smith,RB,Day2,7,0.719,1.096,-0.377,0.1495002445126278
Alfredo Roberts,TE,Day1,5,0.64,1.743,-1.103,0.15976709288934668
Craig Johnson,QB,Day1,5,0.9,1.321,-0.421,0.16056261767796554
Chad O'Shea,WR,Day3+UDFA,19,0.562,0.234,0.328,0.16438812540280262
Jemal Singleton,RB,Day3+UDFA,8,0.125,0.315,-0.19,0.17307767043754865
Kennedy Polamalu,RB,Day2,7,2.071,1.096,0.976,0.17833106918934846
Steve Hagen,TE,Day3+UDFA,12,0.153,0.281,-0.128,0.1835383974341442
Bobby Engram,WR,Day3+UDFA,14,0.119,0.234,-0.115,0.18852896904477404
Darrell Bevell,QB,Day3+UDFA,6,0.167,0.419,-0.253,0.18975236581428206
Brian Daboll,WR,Day2,7,0.321,0.63,-0.308,0.19097376122008108
Charles London,RB,Day3+UDFA,12,0.958,0.315,0.644,0.1914289898889721
Eric Yarber,WR,Day2,9,1.348,0.63,0.718,0.19521976966969554
Stan Hixon,WR,Day1,5,2.05,1.299,0.751,0.2001655780737969
Kyle Caskey,RB,Day2,5,1.77,1.096,0.674,0.2041724558283131
Chick Harris,RB,Day2,7,0.643,1.096,-0.453,0.20423241375639362
Edgar Bennett,WR,Day2,12,1.115,0.63,0.485,0.20540864349597224
Rob Moore,WR,Day3+UDFA,25,0.12,0.234,-0.114,0.20765810631156287
Darryl Drake,WR,Day3+UDFA,14,0.857,0.234,0.623,0.21324762027147218
Ken O'Keefe,WR,Day3+UDFA,6,0.722,0.234,0.488,0.22029186656949898
Frank Smith,TE,Day3+UDFA,8,1.042,0.281,0.76,0.2247196597606303
Tyke Tolbert,WR,Day3+UDFA,31,0.151,0.234,-0.083,0.22678971825734742
Rob Boras,TE,Day3+UDFA,16,0.167,0.281,-0.115,0.22875066606600236
Fred Graves,WR,Day2,14,1.0,0.63,0.37,0.2338925554055947
Chick Harris,RB,Day3+UDFA,16,0.804,0.315,0.49,0.24376347315664978
David Culley,WR,Day2,7,1.424,0.63,0.794,0.2497610878842511
Mick Lombardi,WR,Day3+UDFA,6,0.667,0.234,0.433,0.25081790848963975
Richard Williamson,WR,Day3+UDFA,5,0.1,0.234,-0.134,0.2516677355971165
Josh Grizzard,WR,Day3+UDFA,5,0.1,0.234,-0.134,0.2516677355971165
James Urban,WR,Day2,7,0.393,0.63,-0.237,0.25393940112243735
Pete Metzelaars,TE,Day3+UDFA,7,1.0,0.281,0.719,0.259560042139479
