coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Charlie Williams,WR,14,0,0.0,0.07049345417925479,0.6156986158072528
Ben McDaniels,WR,14,0,0.0,0.07049345417925479,0.6156986158072528
Connor Embree,WR,13,1,0.07692307692307693,0.07049345417925479,0.615698615807253
Greg Olson,QB,12,0,0.0,0.10034602076124567,0.6172603238583616
Wade Wilson,QB,12,0,0.0,0.10034602076124567,0.6172603238583616
David Lee,QB,12,0,0.0,0.10034602076124567,0.6172603238583616
Drew Terrell,WR,16,0,0.0,0.07049345417925479,0.6205560569918647
James Lofton,WR,17,0,0.0,0.07049345417925479,0.6253136704021509
Aaron Moorehead,WR,17,0,0.0,0.07049345417925479,0.6253136704021509
Lunda Wells,TE,12,2,0.16666666666666666,0.11368015414258188,0.6355183819740176
Wes Welker,WR,19,2,0.10526315789473684,0.07049345417925479,0.6383790530331875
Dave Atkins,RB,11,2,0.18181818181818182,0.12995896032831739,0.6430992935009207
Wes Phillips,TE,13,2,0.15384615384615385,0.11368015414258188,0.6503157126203716
Ben Steele,TE,13,2,0.15384615384615385,0.11368015414258188,0.6503157126203716
Jon Embree,TE,14,2,0.14285714285714285,0.11368015414258188,0.6665825706225251
Jerald Ingram,RB,13,2,0.15384615384615385,0.12995896032831739,0.6812200203651708
Matt Simon,RB,13,2,0.15384615384615385,0.12995896032831739,0.6812200203651708
Justin Peelle,TE,15,2,0.13333333333333333,0.11368015414258188,0.6837957759581375
Wilbert Montgomery,RB,15,1,0.06666666666666667,0.12995896032831739,0.7066366686639299
James Daniel,TE,17,1,0.058823529411764705,0.11368015414258188,0.7074637787081671
Jonathan Hayes,TE,17,1,0.058823529411764705,0.11368015414258188,0.7074637787081671
Tony Dews,RB,16,1,0.0625,0.12995896032831739,0.7082755699563106
Jim Skipper,RB,17,1,0.058823529411764705,0.12995896032831739,0.7123828323280212
Keenan McCardell,WR,28,1,0.03571428571428571,0.07049345417925479,0.7151450740776396
Wade Harman,TE,20,1,0.05,0.11368015414258188,0.7155345018446191
Bobby Engram,WR,29,1,0.034482758620689655,0.07049345417925479,0.7156042530025575
Edgar Bennett,WR,35,3,0.08571428571428572,0.07049345417925479,0.7315984684178549
Mike Groh,WR,37,3,0.08108108108108109,0.07049345417925479,0.7407274291987607
Ollie Wilson,RB,21,3,0.14285714285714285,0.12995896032831739,0.7461832555532597
Brian Angelichio,TE,26,2,0.07692307692307693,0.11368015414258188,0.7557265494953768
Sherman Smith,RB,23,2,0.08695652173913043,0.12995896032831739,0.7560037989687325
Ivan Fears,RB,29,4,0.13793103448275862,0.12995896032831739,0.782311303608044
Kelly Skipper,RB,31,3,0.0967741935483871,0.12995896032831739,0.7862246609177379
David Shaw,WR,11,0,0.0,0.07049345417925479,1.0
Mike Shula,QB,9,1,0.1111111111111111,0.10034602076124567,1.0
Mike Johnson,QB,8,0,0.0,0.10034602076124567,1.0
Mike Johnson,WR,9,0,0.0,0.07049345417925479,1.0
Jim Zorn,QB,8,0,0.0,0.10034602076124567,1.0
Sylvester Croom,RB,26,3,0.11538461538461539,0.12995896032831739,1.0
Stump Mitchell,RB,25,3,0.12,0.12995896032831739,1.0
Eric Studesville,RB,41,5,0.12195121951219512,0.12995896032831739,1.0
Skip Peete,RB,33,4,0.12121212121212122,0.12995896032831739,1.0
Ted Williams,RB,20,2,0.1,0.12995896032831739,1.0
Tony Nathan,RB,10,1,0.1,0.12995896032831739,1.0
Joel Collier,RB,8,1,0.125,0.12995896032831739,1.0
Todd McNair,RB,14,1,0.07142857142857142,0.12995896032831739,1.0
Chick Harris,RB,25,3,0.12,0.12995896032831739,1.0
Brian Pariani,TE,21,2,0.09523809523809523,0.11368015414258188,1.0
Pete Hoener,TE,18,2,0.1111111111111111,0.11368015414258188,1.0
George Stewart,WR,32,2,0.0625,0.07049345417925479,1.0
Karl Dorrell,WR,35,2,0.05714285714285714,0.07049345417925479,1.0
Fred Biletnikoff,WR,8,0,0.0,0.07049345417925479,1.0
