coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Pete Carmichael,TE,12,2,0.16666666666666666,0.11368015414258188,0.6355183819740176
Todd Monken,TE,12,2,0.16666666666666666,0.11368015414258188,0.6355183819740176
Cam Cameron,RB,11,2,0.18181818181818182,0.12995896032831739,0.6430992935009207
Bill Lazor,RB,11,2,0.18181818181818182,0.12995896032831739,0.6430992935009207
Kellen Moore,WR,20,2,0.1,0.07049345417925479,0.6463125937480112
Mike LaFleur,RB,12,2,0.16666666666666666,0.12995896032831739,0.6614850874720851
Ken Whisenhunt,RB,13,2,0.15384615384615385,0.12995896032831739,0.6812200203651708
Norv Turner,TE,16,2,0.125,0.11368015414258188,0.7015299811160409
Dirk Koetter,TE,16,2,0.125,0.11368015414258188,0.7015299811160409
Pat Shurmur,TE,16,2,0.125,0.11368015414258188,0.7015299811160409
Mike Heimerdinger,RB,14,2,0.14285714285714285,0.12995896032831739,0.70164325025821
Pete Carmichael,RB,14,2,0.14285714285714285,0.12995896032831739,0.70164325025821
Matt Cavanaugh,RB,15,1,0.06666666666666667,0.12995896032831739,0.7066366686639299
Eric Bieniemy,RB,15,1,0.06666666666666667,0.12995896032831739,0.7066366686639299
Rick Dennison,TE,17,1,0.058823529411764705,0.11368015414258188,0.7074637787081671
Todd Monken,RB,16,1,0.0625,0.12995896032831739,0.7082755699563106
Rob Chudzinski,RB,17,1,0.058823529411764705,0.12995896032831739,0.7123828323280212
Bob Bratkowski,WR,27,2,0.07407407407407407,0.07049345417925479,0.7151450740776394
Rick Dennison,WR,28,1,0.03571428571428571,0.07049345417925479,0.7151450740776396
Greg Knapp,WR,29,1,0.034482758620689655,0.07049345417925479,0.7156042530025575
Brian Daboll,WR,30,1,0.03333333333333333,0.07049345417925479,0.716784318342796
Norv Turner,WR,31,1,0.03225806451612903,0.07049345417925479,0.7186300323135629
Marty Mornhinweg,WR,33,1,0.030303030303030304,0.07049345417925479,0.7241015705135263
Pat Shurmur,RB,20,3,0.15,0.12995896032831739,0.7357982431244404
Rick Dennison,RB,23,2,0.08695652173913043,0.12995896032831739,0.7560037989687325
Scott Linehan,RB,26,4,0.15384615384615385,0.12995896032831739,0.76422124081388
Josh McDaniels,RB,31,3,0.0967741935483871,0.12995896032831739,0.7862246609177379
Bill Callahan,RB,10,1,0.1,0.12995896032831739,1.0
Mike Heimerdinger,WR,15,1,0.06666666666666667,0.07049345417925479,1.0
Tom Moore,TE,8,1,0.125,0.11368015414258188,1.0
Tom Rossley,RB,8,1,0.125,0.12995896032831739,1.0
Mike Mularkey,RB,10,1,0.1,0.12995896032831739,1.0
